symbol,price,low,relvolume,percentchange,high,open,watchers,hourchange,sentiment
NOC,461.58,458.615,0.2283,0.0022,461.9046,460.46,8020,0,0.0
MSFT,282.46,281.5,0.4808,0.6952,284.46,284.23,442588,4,2.32
NVDA,272.29,271.02,0.5153,0.9079,274.99,272.29,420558,0,2.24
META,206.6,202.85,0.5144,0.6087,208.09,203.38,512290,3,3.5
ENPH,206.455,203.96,0.5385,1.2282,214.19,209.435,37319,0,-2.23
TSLA,195.77,194.42,0.4963,0.9748,197.328,195.58,889734,0,4.23
AAPL,162.0,161.271,0.4467,0.7651,162.47,161.53,876772,0,4.52
IBM,129.37,129.15,0.3778,-0.2621,131.47,130.16,51348,0,8.38
JPM,128.0899,127.65,0.595,-0.8131,130.12,129.95,82475,-1,3.22
EA,119.06,118.85,0.3338,-0.1091,120.05,120.0,20710,0,5.56
AMZN,101.5399,101.01,0.5505,1.2867,103.04,101.55,587427,7,6.76
GOOGL,100.6,99.78,0.5024,-0.7792,100.96,100.91,159879,0,3.16
AMD,97.8035,97.25,0.7027,1.7832,99.53,98.0,456360,4,-4.65
SONY,89.29,88.64,1.0152,1.616,89.51,88.7,2081,0,0.0
INTC,32.095,31.81,1.1344,1.8242,32.58,31.85,131059,5,12.24
CVNA,8.4899,8.079,0.4836,7.8767,9.0,8.08,23365,0,-6.96
SOFI,5.675,5.62,0.4901,-1.3043,5.93,5.87,91777,0,-0.06
AMC,4.905,4.9,0.4373,-1.9,5.16,5.11,412494,0,1.11
