percentchange,symbol,open,high,price,relvolume,low,watchers,hourchange,sentiment
1.1884,NOC,470.98,478.12,475.98,0.3992,471.57,8041,0,-8.33
-0.9534,MSFT,289.208,289.6,288.82,0.6036,284.72,443156,3,-0.89
1.9455,NVDA,268.23,276.2099,275.63,0.6909,266.69,421301,0,2.51
-0.7126,META,214.71,215.66,214.56,0.4318,210.66,512687,-1,-0.87
2.267,ENPH,189.09,195.42,195.33,0.3813,188.51,37405,2,-1.82
-0.2378,TSLA,179.94,185.0994,184.62,0.8046,176.11,891036,1,-0.7
-1.7559,AAPL,162.43,161.94,161.7687,0.6018,160.08,877519,8,-2.8
0.3563,IBM,129.83,131.03,130.965,0.3386,129.24,51367,0,-2.12
0.1373,JPM,126.54,128.22,127.645,0.5125,126.22,82588,0,-2.58
0.4075,EA,124.79,125.8,125.67,0.3192,123.74,20704,0,8.08
-1.9046,GOOGL,106.98,107.59,106.355,0.5703,105.12,160292,4,-0.08
-0.1875,AMZN,100.96,102.02,101.8686,0.4795,99.57,588086,7,-0.52
3.1686,AMD,91.32,95.79,95.4,0.7455,91.02,456692,3,7.34
0.2268,SONY,87.76,88.4,88.37,0.3551,87.73,2087,0,0.0
-0.8229,INTC,32.6,32.76,32.54,0.4424,32.2,131216,-4,0.51
2.8857,CVNA,9.0,9.35,9.27,0.3109,8.63,23319,0,1.53
2.6087,SOFI,5.69,5.92,5.9,0.5019,5.66,91904,1,0.46
7.351,AMC,4.77,5.37,5.2602,1.2069,4.74,413139,-2,0.7
