price,low,relvolume,percentchange,symbol,high,open,watchers,hourchange,sentiment
472.57,468.765,0.3372,-0.3353,NOC,473.09,470.55,8041,0,13.33
91.75,90.5,0.5911,-0.3692,AMD,92.97,91.82,456768,3,-0.01
286.14,283.69,0.5743,-1.2766,MSFT,288.48,287.0,443396,2,-0.68
267.58,262.2,0.7461,1.1148,NVDA,268.83,265.04,421590,4,-1.09
8.97,8.68,0.3345,-4.2689,CVNA,9.798,9.47,23328,-2,-1.25
221.49,217.56,0.6378,0.5174,META,222.11,217.88,512850,14,0.74
128.14,127.31,0.6373,0.1876,IBM,129.84,128.46,51370,0,-6.94
102.51,101.11,0.7199,0.1074,AMZN,103.2013,102.07,588468,1,0.4
138.73,134.9001,3.0765,7.551,JPM,139.12,135.15,82930,8,6.88
108.87,106.88,0.566,1.3404,GOOGL,108.935,106.89,160404,1,-2.01
165.21,163.83,0.6406,-0.2114,AAPL,166.32,164.59,877852,4,1.29
208.9,204.67,0.6939,-0.3767,ENPH,214.57,209.77,37423,0,-3.47
127.87,127.45,0.4028,-0.3196,EA,128.53,127.98,20705,0,10.0
185.0,182.01,0.5598,-0.4841,TSLA,186.28,183.95,891427,4,0.27
90.86,90.412,0.8867,0.4089,SONY,91.46,90.85,2088,0,0.0
31.89,31.69,0.4201,-0.747,INTC,32.235,32.0,131240,1,-2.29
5.92,5.77,0.6398,1.0239,SOFI,6.03,5.99,91899,-4,-0.49
5.12,4.9,0.9005,-6.2271,AMC,5.75,5.74,413214,-3,-0.31
