percentchange,symbol,open,low,price,relvolume,high,watchers,hourchange,sentiment
-0.6247,META,214.71,210.66,214.75,0.4571,215.66,512691,0,-1.58
0.3675,EA,124.79,123.74,125.62,0.3892,125.8,20703,0,4.44
-0.8839,INTC,32.6,32.2,32.52,0.4854,32.76,131212,0,-1.66
0.4061,IBM,129.83,129.24,131.03,0.3796,131.08,51364,0,-1.29
3.3296,CVNA,9.0,8.62,9.31,0.3262,9.35,23315,0,3.76
-0.7579,MSFT,289.208,284.72,289.39,0.6369,289.6,443168,-2,-1.96
-0.2972,TSLA,179.94,176.11,184.51,0.8207,185.0994,891052,7,-0.34
0.1078,AMZN,100.96,99.57,102.17,0.5167,102.2,588100,0,-1.28
2.5131,ENPH,189.09,188.51,195.8,0.4136,195.9,37408,1,-1.82
6.9388,AMC,4.77,4.74,5.24,1.2692,5.37,413139,3,1.13
1.3074,NOC,470.98,470.98,476.54,0.4565,478.17,8041,0,-16.67
3.2551,AMD,91.32,91.02,95.48,0.7903,95.79,456699,0,8.86
2.0047,NVDA,268.23,266.69,275.79,0.7128,276.2099,421316,5,2.08
2.7826,SOFI,5.69,5.66,5.91,0.5343,5.92,91908,-1,0.55
-1.5972,AAPL,161.42,160.08,162.03,0.6369,162.03,877532,3,-4.57
0.3295,JPM,126.54,126.22,127.89,0.5624,128.23,82595,0,-2.86
-1.8262,GOOGL,106.98,105.12,106.44,0.6059,107.59,160302,1,0.22
0.3856,SONY,87.76,87.73,88.51,0.4657,88.52,2088,0,0.0
