low,open,percentchange,relvolume,price,symbol,high,watchers,hourchange,sentiment
123.11,125.63,-1.5216,1.496,124.91,JPM,125.68,82371,0,0.57
263.55,270.31,-1.5152,0.8619,267.79,NVDA,271.67,420196,4,-1.07
86.96,88.3,-0.8383,1.3895,87.53,SONY,88.3,2082,0,0.0
275.3,277.24,1.048,0.7429,280.57,MSFT,280.63,442252,5,0.18
192.46,202.35,-4.2363,0.8771,195.99,ENPH,203.55,37275,-1,4.14
157.85,158.86,0.8306,0.6983,160.25,AAPL,160.34,876400,4,-1.14
443.105,445.08,2.4323,0.7919,455.25,NOC,456.2,8012,-1,-10.23
7.95,8.18,-1.9162,0.2716,8.19,CVNA,8.47,23417,-3,-0.7
96.74,99.18,-2.3235,1.0179,97.95,AMD,99.52,456181,-1,-2.55
122.88,123.36,1.5563,0.6283,125.29,IBM,125.4,51327,0,-2.69
117.61,118.08,2.5767,0.8715,119.03,EA,119.205,20720,0,0.0
4.38,4.4,0.0,0.283,4.47,AMC,4.54,411928,2,0.06
5.645,5.675,-0.692,0.4643,5.74,SOFI,5.83,91704,0,-0.3
28.93,29.04,1.1368,1.0801,29.36,INTC,29.81,130869,0,-2.08
203.55,205.18,0.8469,0.7884,206.01,META,207.574,512048,1,3.14
96.4,98.065,-0.5876,0.6949,98.13,AMZN,98.295,587048,4,-1.3
103.84,104.99,-0.1515,0.6651,105.44,GOOGL,105.49,159720,1,-3.23
187.15,191.65,-0.9416,0.6231,190.41,TSLA,192.36,889274,-5,-1.16
