low,relvolume,symbol,price,high,open,percentchange,watchers,hourchange,sentiment
32.85,1.059,INTC,33.095,33.84,32.85,0.6233,131182,0,2.99
127.41,0.702,JPM,128.4004,130.57,130.5,-1.3519,82527,-2,5.61
102.11,0.6103,AMZN,103.93,104.2,102.75,1.4842,587783,7,2.17
165.11,0.5431,AAPL,165.59,166.83,166.595,-0.349,877173,-8,2.24
285.67,0.6652,MSFT,287.1,290.4499,287.23,-0.0453,442890,0,1.2
465.19,0.3915,NOC,468.18,471.7399,468.73,-0.2153,8033,0,0.0
273.08,0.686,NVDA,274.54,280.0,279.66,-1.8273,420931,6,1.79
104.04,0.5141,GOOGL,104.74,105.58,104.33,0.3641,160041,1,4.12
3.88,2.4701,AMC,3.895,4.45,4.08,-23.7769,412830,-3,-5.44
121.23,1.0756,EA,125.26,125.47,121.43,3.2221,20707,0,0.0
8.93,0.3434,CVNA,9.5,9.72,9.44,2.2605,23345,1,-1.79
190.32,0.711,TSLA,192.63,198.7446,197.32,-1.0987,890496,10,0.83
212.54,0.5769,META,214.75,216.24,213.39,0.7885,512513,0,5.69
130.9,0.5043,IBM,131.58,132.13,131.99,-0.3635,51356,1,0.0
90.36,0.9783,SONY,91.037,91.145,90.78,-0.3208,2087,0,0.0
95.21,0.6455,AMD,95.88,97.27,97.038,-0.7042,456542,1,-1.07
198.65,0.4624,ENPH,202.51,203.2,202.89,-0.0444,37369,2,0.34
5.835,0.4678,SOFI,5.885,6.095,6.1,-2.4046,91854,0,-0.4
