low,high,symbol,open,percentchange,price,relvolume,watchers,hourchange,sentiment
91.02,95.79,AMD,91.32,3.2336,95.4601,0.7903,456692,3,7.34
471.57,478.12,NOC,470.98,1.2947,476.48,0.4565,8041,0,-8.33
266.69,276.2099,NVDA,268.23,1.9862,275.74,0.7128,421301,0,2.51
210.66,215.66,META,214.71,-0.625,214.7494,0.4571,512687,-1,-0.87
5.66,5.92,SOFI,5.69,2.8696,5.915,0.5343,91904,1,0.46
160.08,161.95,AAPL,162.43,-1.6519,161.94,0.6369,877519,8,-2.8
126.22,128.22,JPM,126.54,0.3413,127.905,0.5624,82588,0,-2.58
87.73,88.51,SONY,87.76,0.3856,88.51,0.4657,2087,0,0.0
105.12,107.59,GOOGL,106.98,-1.8262,106.44,0.6059,160292,4,-0.08
32.2,32.76,INTC,32.6,-0.8991,32.515,0.4854,131216,-4,0.51
176.11,185.0994,TSLA,179.94,-0.3593,184.395,0.8207,891036,1,-0.7
129.24,131.05,IBM,129.83,0.4138,131.04,0.3796,51367,0,-2.12
8.63,9.35,CVNA,9.0,3.4961,9.325,0.3262,23319,0,1.53
123.74,125.8,EA,124.79,0.3436,125.59,0.3892,20704,0,8.08
99.57,102.2,AMZN,100.96,0.1127,102.175,0.5167,588086,7,-0.52
284.72,289.6,MSFT,289.208,-0.8573,289.1,0.6369,443156,3,-0.89
4.74,5.37,AMC,4.77,6.5306,5.22,1.2692,413139,-2,0.7
188.51,195.795,ENPH,189.09,2.4869,195.75,0.4136,37405,2,-1.82
