relvolume,percentchange,high,symbol,price,open,low,watchers,hourchange,sentiment
0.4207,3.2389,7.9,CVNA,7.65,7.21,7.02,23303,-5,0.27
1.4973,1.2836,98.75,AMD,97.84,96.66,95.94,455821,-2,-0.24
0.6722,-2.1724,186.21,TSLA,180.13,184.515,177.33,888629,3,1.1
2.0994,-0.8099,124.52,IBM,123.69,124.08,122.93,51324,0,1.4
0.7406,-0.1585,114.0,EA,113.35,113.65,112.98,20735,0,-25.0
1.7577,1.1694,283.33,MSFT,279.43,278.26,276.3201,441748,4,-1.58
2.2173,-3.7782,128.45,JPM,125.81,128.38,125.46,82039,1,4.66
0.8804,-1.4551,450.16,NOC,443.6,449.81,441.305,7998,0,3.41
1.116,-4.5479,201.9,META,195.61,200.56,195.4304,511612,1,-1.09
0.6642,0.1835,5.54,SOFI,5.46,5.47,5.33,91542,0,5.29
0.8764,-1.0896,100.65,AMZN,98.95,99.79,97.455,586546,-6,2.06
0.6185,-4.7836,4.34,AMC,4.18,4.3,4.1078,411723,1,-0.13
1.0943,-1.226,30.56,INTC,29.81,29.92,29.44,130795,0,-4.25
1.2376,1.2959,102.835,GOOGL,101.62,100.26,100.1,159514,-2,1.05
0.9896,-0.5454,156.74,AAPL,155.0,156.08,154.28,875804,-3,4.59
1.0052,0.1505,87.47,SONY,86.52,87.25,86.18,2077,0,33.33
1.3828,0.7204,263.99,NVDA,257.25,259.82,256.68,419192,3,2.58
1.684,-8.6822,200.7,ENPH,183.64,200.7,181.55,37123,6,-3.29
