low,high,symbol,relvolume,open,percentchange,price,watchers,hourchange,sentiment
443.105,455.73,NOC,0.6462,445.08,2.4548,455.35,8013,-1,-5.0
275.3,280.28,MSFT,0.6507,277.24,0.8392,279.99,442238,2,-2.65
263.55,271.67,NVDA,0.7762,270.31,-1.7212,267.23,420185,0,-1.19
203.55,207.574,META,0.7182,205.18,0.9326,206.1851,512060,6,-0.91
192.46,203.55,ENPH,0.7801,202.35,-4.4562,195.54,37274,2,4.85
187.15,192.36,TSLA,0.583,191.65,-0.9702,190.355,889277,1,-1.76
157.85,160.06,AAPL,0.6245,158.86,0.5852,159.86,876381,7,-2.83
123.1163,125.68,JPM,1.3122,125.63,-1.4349,125.02,82363,1,-0.86
122.89,124.95,IBM,0.5043,123.36,1.2159,124.87,51325,-1,-0.54
117.61,119.18,EA,0.6873,118.08,2.6543,119.12,20719,0,7.14
103.84,105.375,GOOGL,0.5519,104.99,-0.2794,105.305,159715,0,-4.66
96.4,98.25,AMZN,0.6289,98.065,-0.5572,98.16,587040,2,-1.4
96.74,99.52,AMD,0.9369,99.18,-2.3235,97.95,456188,2,-3.33
86.96,88.3,SONY,1.163,88.3,-0.6288,87.715,2082,0,0.0
28.93,29.81,INTC,0.913,29.04,0.999,29.32,130869,-1,-1.71
7.95,8.47,CVNA,0.2429,8.18,-1.1976,8.25,23423,0,-1.35
5.645,5.83,SOFI,0.3966,5.675,-0.346,5.76,91705,1,-0.2
4.38,4.54,AMC,0.247,4.4,-0.5593,4.445,411924,-4,-0.03
