price,symbol,high,open,percentchange,low,relvolume,watchers,hourchange,sentiment
449.04,NOC,452.2,445.27,1.2263,445.36,0.2327,8002,0,9.09
271.03,MSFT,277.48,276.98,-3.0061,269.85,0.9064,441914,0,0.31
258.97,NVDA,260.24,256.15,0.6686,251.3,0.6301,419406,14,1.25
196.89,META,199.36,198.48,0.6544,193.64,0.5304,511736,-3,0.18
192.0433,ENPH,196.88,189.59,4.576,185.2,0.9236,37204,3,0.84
182.6,TSLA,186.44,178.08,1.3712,176.35,0.5658,888851,8,-0.27
157.13,AAPL,157.765,155.07,1.3742,154.15,0.6174,876005,8,-0.98
126.5,JPM,129.46,126.99,0.5484,126.01,1.2657,82192,12,0.56
124.98,IBM,125.9115,124.31,1.0429,124.19,0.4739,51323,0,3.59
113.63,EA,114.28,113.01,0.247,113.01,0.2708,20730,0,0.0
100.915,GOOGL,101.75,100.12,-0.6938,99.88,0.5364,159574,5,-0.21
96.565,AMZN,98.48,98.41,-2.4103,95.7,0.6175,586747,12,0.55
95.48,AMD,96.79,96.3,-2.4121,92.9,1.1535,455932,-2,-0.57
88.52,SONY,89.16,87.52,2.3116,87.33,0.8461,2079,0,0.0
29.01,INTC,29.9,29.8,-2.6837,28.63,0.4978,130822,-4,0.11
6.98,CVNA,7.81,7.43,-8.7582,6.98,0.2434,23282,-5,-1.26
5.27,SOFI,5.54,5.47,-3.4799,5.26,0.5774,91584,-1,0.8
4.2585,AMC,4.38,4.25,1.878,4.14,0.3405,411746,-4,-0.63
