high,price,open,percentchange,relvolume,symbol,low,watchers,hourchange,sentiment
201.62,193.74,200.0,-4.3448,0.8384,ENPH,187.73,37377,2,0.11
165.05,163.82,164.74,-1.0928,0.6702,AAPL,161.8,877248,5,-8.21
103.91,101.05,103.91,-2.7898,0.5813,AMZN,100.7506,587863,4,0.87
9.38,8.495,9.38,-10.5789,0.3189,CVNA,8.3901,23331,-1,-1.8
126.27,126.19,125.24,0.7585,0.7325,EA,124.85,20706,0,8.33
287.145,284.4,285.85,-0.968,0.5843,MSFT,282.95,442943,3,-4.52
128.14,127.57,126.8,0.1177,0.609,JPM,126.46,82526,0,3.17
473.58,470.835,467.22,0.5843,0.5536,NOC,467.85,8036,0,0.0
94.5,92.6,94.35,-3.4109,0.7872,AMD,91.36,456577,5,-2.92
215.19,211.5401,214.15,-1.481,0.5446,META,209.95,512550,0,-4.2
4.09,4.0309,4.07,3.0921,0.7224,AMC,3.94,412889,0,-1.9
269.98,268.63,268.29,-2.1491,0.9568,NVDA,263.95,421046,11,-4.46
90.02,89.64,89.9,-1.5053,0.7198,SONY,89.53,2087,0,0.0
132.61,132.135,131.37,0.4065,0.4187,IBM,131.47,51359,1,0.0
190.68,185.48,190.515,-3.6868,0.7518,TSLA,183.76,890598,6,-1.55
106.1,104.52,105.78,-0.191,0.6109,GOOGL,103.66,160114,3,0.29
5.87,5.745,5.87,-2.4618,0.786,SOFI,5.5801,91867,-1,0.36
32.985,32.825,32.795,-0.8308,0.7132,INTC,32.335,131191,4,-0.91
