price,symbol,open,high,low,relvolume,percentchange,watchers,hourchange,sentiment
455.25,NOC,445.08,456.2,443.105,0.7919,2.4323,8013,0,-10.23
280.57,MSFT,277.24,280.63,275.3,0.7429,1.048,442245,2,0.18
160.25,AAPL,158.86,160.34,157.85,0.6983,0.8306,876391,4,-1.54
195.99,ENPH,202.35,203.55,192.46,0.8771,-4.2363,37275,-2,4.44
97.95,AMD,99.18,99.52,96.74,1.0179,-2.3235,456182,-1,-3.01
8.19,CVNA,8.18,8.47,7.95,0.2716,-1.9162,23419,-4,-0.9
125.29,IBM,123.36,125.4,122.88,0.6283,1.5563,51325,0,-3.23
119.03,EA,118.08,119.205,117.61,0.8715,2.5767,20720,0,7.14
4.47,AMC,4.4,4.54,4.38,0.283,0.0,411919,-5,-0.07
5.74,SOFI,5.675,5.83,5.645,0.4643,-0.692,91704,-1,-0.59
29.36,INTC,29.04,29.81,28.93,1.0801,1.1368,130868,-3,0.39
206.01,META,205.18,207.574,203.55,0.7884,0.8469,512046,1,2.85
98.13,AMZN,98.065,98.295,96.4,0.6949,-0.5876,587042,1,-1.1
105.44,GOOGL,104.99,105.49,103.84,0.6651,-0.1515,159716,-1,-3.03
124.91,JPM,125.63,125.68,123.1163,1.496,-1.5216,82368,5,0.58
190.41,TSLA,191.65,192.36,187.15,0.6231,-0.9416,889279,1,-1.27
87.53,SONY,88.3,88.3,86.96,1.3895,-0.8383,2082,0,0.0
267.79,NVDA,270.31,271.67,263.55,0.8619,-1.5152,420196,7,-1.2
