open,symbol,percentchange,relvolume,low,price,high,watchers,hourchange,sentiment
119.38,EA,1.1335,0.6957,118.985,120.45,120.53,20709,0,0.0
129.66,JPM,1.2117,0.7219,128.8514,130.31,130.34,82481,0,-2.7
101.3,GOOGL,2.8149,0.6778,101.05,103.73,103.89,159925,-1,2.66
102.16,AMZN,1.2647,0.6381,101.95,103.29,103.42,587497,5,3.18
89.77,SONY,1.5004,1.4706,89.75,90.65,90.92,2084,0,0.0
271.4,NVDA,1.4388,0.7758,271.05,277.77,278.34,420627,1,4.48
206.02,ENPH,2.4407,0.544,205.81,210.28,212.12,37335,-1,0.71
129.47,IBM,1.4471,0.5809,129.42,131.09,131.23,51344,0,2.22
462.98,NOC,0.1605,0.4159,459.45,461.72,463.32,8029,0,0.0
4.91,AMC,0.8048,0.4763,4.87,5.01,5.055,412472,3,0.11
5.75,SOFI,6.1189,1.0566,5.67,6.07,6.17,91781,-1,1.89
207.24,META,1.9727,0.653,206.77,211.94,212.17,512333,0,4.06
31.8,INTC,1.8074,1.0575,31.74,32.67,32.8998,131091,2,0.48
96.34,AMD,0.1328,0.8317,95.27,98.01,98.36,456388,-1,3.83
162.44,AAPL,1.5644,0.7363,162.13,164.9,165.0,876839,0,4.95
197.53,TSLA,6.2372,0.9318,197.23,207.46,207.79,889882,6,8.14
8.9,CVNA,10.872,0.475,8.77,9.79,9.79,23371,1,6.73
283.73,MSFT,1.4962,0.7248,283.03,288.3,288.81,442662,0,2.36
