open,low,percentchange,symbol,high,relvolume,price,watchers,hourchange,sentiment
478.4,473.09,-0.5324,NOC,478.4,0.2572,474.53,8044,0,13.33
285.25,285.15,-0.156,MSFT,289.03,0.4012,288.0,443676,6,1.86
276.71,274.5,-1.0775,NVDA,280.3,0.5123,276.3003,421986,0,5.22
220.5,219.31,-0.0981,ENPH,226.26,0.4024,224.05,37474,-3,0.5
213.48,213.07,-0.0603,META,216.75,0.3003,215.57,512982,-2,3.04
166.09,165.91,-0.1849,AAPL,167.87,0.4484,167.32,878261,6,3.84
166.165,162.66,-9.6905,TSLA,169.55,0.9849,163.09,892374,20,-9.96
139.91,140.17,-0.085,JPM,141.4299,0.3638,141.1,82979,-4,0.78
128.28,128.15,0.4603,EA,129.56,0.3312,128.77,20703,0,0.0
130.15,125.84,0.2771,IBM,130.98,1.3689,126.67,51490,0,-0.23
103.91,103.8684,1.4207,GOOGL,106.25,0.379,105.6601,160574,0,-1.58
103.53,103.38,-0.0527,AMZN,105.24,0.5519,104.245,588805,0,1.16
90.97,90.915,1.0553,SONY,92.275,0.483,91.93,2090,0,0.0
88.825,88.75,1.1563,AMD,91.575,0.5073,90.98,456931,0,-1.06
30.76,30.71,-0.1445,INTC,31.25,0.3483,31.105,131298,2,1.76
8.3,7.94,-6.8946,CVNA,8.51,0.2717,8.035,23283,0,2.93
5.9,5.9,-2.3849,SOFI,6.045,0.35,5.935,91961,-6,0.97
5.0,4.89,-2.6373,AMC,5.02,0.1774,4.9655,413188,-2,0.56
