open,price,low,percentchange,symbol,relvolume,high,watchers,hourchange,sentiment
166.1,166.47,165.65,0.7505,AAPL,0.6295,167.41,878098,4,3.87
106.49,104.5,104.07,-1.3872,GOOGL,0.5757,106.515,160554,0,-2.65
187.15,184.31,183.5887,-1.4596,TSLA,0.5393,187.69,891798,4,-0.73
9.22,8.8,8.76,-2.8698,CVNA,0.2683,9.285,23297,1,-4.14
219.91,217.89,216.215,-0.4432,META,0.3488,220.44,512946,-2,1.03
291.57,288.37,287.02,-0.1489,MSFT,0.5165,291.6,443620,1,4.77
140.27,141.4,139.03,1.1228,JPM,0.8356,141.78,82990,1,-0.52
225.43,227.87,222.23,1.3116,ENPH,0.8254,231.31,37486,0,-1.64
475.74,479.47,475.74,0.9857,NOC,0.6483,483.4,8043,0,-11.11
103.95,102.3,101.52,-0.4283,AMZN,0.555,104.2,588663,4,1.28
128.81,129.04,127.82,0.7495,EA,0.5166,129.38,20704,0,0.0
128.14,127.78,127.35,-0.0313,IBM,0.4769,128.68,51378,-1,-0.62
6.0,5.98,5.895,0.3356,SOFI,0.4567,6.02,91919,-1,-0.93
5.23,5.05,4.98,-2.8846,AMC,0.3403,5.212,413181,-3,-1.82
32.43,31.83,31.785,-0.9645,INTC,0.4755,32.46,131278,0,0.54
275.335,276.67,273.57,2.4628,NVDA,1.1798,281.0802,421845,0,-0.04
91.61,89.78,89.33,-0.1001,AMD,0.6994,92.16,456871,2,2.78
91.57,91.31,90.99,0.1755,SONY,0.8545,91.86,2087,0,0.0
