percentchange,price,relvolume,high,open,low,symbol,watchers,hourchange,sentiment
0.15,113.52,0.5323,114.28,113.01,113.01,EA,20730,-1,33.33
-7.5817,7.07,0.3366,7.81,7.43,6.87,CVNA,23278,-1,-1.3
-1.0527,96.81,1.5349,96.94,96.3,92.9,AMD,455940,1,-0.59
-1.2532,97.71,0.7742,98.48,98.41,95.7,AMZN,586768,1,0.31
-2.5767,272.23,1.2161,277.48,276.98,269.85,MSFT,441948,5,-0.14
1.0571,127.14,1.609,129.46,126.99,126.01,JPM,82211,1,-0.26
2.1531,4.27,0.4546,4.38,4.25,4.14,AMC,411737,7,-0.44
1.7321,183.25,0.6925,186.44,178.08,176.35,TSLA,888860,0,-0.2
1.2759,449.26,0.4475,452.2,445.27,445.36,NOC,8005,2,8.33
-0.3936,101.22,0.7301,101.75,100.12,99.88,GOOGL,159584,-1,-0.95
2.196,88.42,1.1668,89.16,87.52,87.33,SONY,2079,0,0.0
4.8301,192.51,1.1646,196.88,189.59,185.2,ENPH,37212,0,1.82
1.5484,157.4,0.8489,157.81,155.07,154.15,AAPL,876039,2,0.0
-2.1805,29.16,0.7742,29.9,29.8,28.63,INTC,130826,0,-0.69
1.8191,125.94,0.7973,126.1508,124.31,124.19,IBM,51326,-1,1.06
0.6803,259.0,0.819,260.24,256.15,251.3,NVDA,419438,1,0.64
1.1247,197.81,0.723,199.36,198.48,193.64,META,511744,0,1.39
-4.3956,5.22,0.8466,5.54,5.47,5.19,SOFI,91593,1,1.27
