symbol,high,percentchange,low,open,relvolume,price,watchers,hourchange,sentiment
EA,128.72,1.7046,126.58,126.58,0.4634,128.28,20702,-1,6.67
MSFT,289.9,2.2399,283.17,283.59,0.602,289.84,443355,1,1.18
JPM,129.035,0.3813,126.84,128.46,0.7779,128.99,82731,7,5.81
NOC,476.065,0.294,469.78,472.0,0.3826,474.16,8039,1,-16.67
CVNA,9.76,1.4069,9.201,9.27,0.3162,9.37,23339,1,1.75
SOFI,5.98,0.6873,5.825,5.91,0.5437,5.86,91912,0,2.23
INTC,32.4252,0.3435,31.65,31.82,0.474,32.13,131232,-1,5.8
GOOGL,107.49,2.6663,105.9,105.84,0.5101,107.43,160362,4,-1.99
SONY,90.83,1.174,90.0,90.1,0.7734,90.49,2088,0,0.0
TSLA,186.5,2.9689,180.94,182.955,0.6485,185.9,891319,3,1.13
META,221.15,2.9673,215.82,215.73,0.6771,220.35,512800,3,2.1
AMD,93.16,-0.2599,91.83,92.79,0.6105,92.09,456763,0,0.79
ENPH,211.55,6.9683,198.52,200.01,0.9909,209.69,37425,2,-4.82
NVDA,268.869,-0.1208,263.29,267.34,0.6485,264.63,421515,0,-2.67
AMC,5.66,2.2472,5.39,5.48,0.5092,5.46,413222,3,-3.08
AAPL,165.8,3.4104,161.44,161.63,0.8567,165.56,877758,6,4.18
IBM,128.39,-0.4979,126.01,128.01,0.8901,127.9,51366,1,6.94
AMZN,102.56,4.6714,98.73,98.95,0.9312,102.4,588382,4,4.54
