symbol,open,relvolume,high,price,low,percentchange,watchers,hourchange,sentiment
NOC,445.27,0.2734,452.2,448.93,445.36,1.2015,8002,0,9.09
MSFT,276.98,1.019,277.48,270.86,269.85,-3.067,441926,12,0.03
NVDA,256.15,0.7065,260.24,258.98,251.3,0.6725,419413,7,1.25
META,198.48,0.5982,199.36,197.23,193.64,0.8282,511735,-1,0.4
ENPH,189.59,0.998,196.88,191.94,185.2,4.5197,37207,3,0.71
TSLA,178.08,0.6211,186.44,183.48,176.35,1.8598,888853,2,-0.56
AAPL,155.07,0.7041,157.81,157.43,154.15,1.5677,876008,3,-1.19
JPM,126.99,1.3822,129.46,126.8,126.01,0.7869,82200,8,0.53
IBM,124.31,0.5374,125.9115,125.2235,124.19,1.2398,51324,1,1.67
EA,113.01,0.3282,114.28,113.71,113.01,0.3176,20730,0,0.0
GOOGL,100.12,0.5956,101.75,101.25,99.88,-0.3641,159571,-3,-0.26
AMZN,98.41,0.675,98.48,97.06,95.7,-1.9101,586752,5,0.76
AMD,96.3,1.3119,96.79,96.31,92.9,-1.5638,455935,3,-0.75
SONY,87.52,0.8995,89.16,88.5,87.33,2.2885,2079,0,0.0
INTC,29.8,0.5607,29.9,29.14,28.63,-2.2476,130822,0,-0.38
CVNA,7.43,0.2741,7.81,6.91,6.9,-9.6732,23282,0,-1.89
SOFI,5.47,0.6546,5.54,5.24,5.24,-4.0293,91584,0,1.07
AMC,4.25,0.3744,4.38,4.2907,4.14,2.6483,411738,-8,-0.63
