price,high,open,relvolume,symbol,percentchange,low,watchers,hourchange,sentiment
129.11,130.12,129.05,0.504,EA,0.2407,128.695,20702,0,25.0
285.76,286.26,285.01,0.5756,MSFT,-0.1223,283.0608,443714,-6,-1.79
271.19,271.83,269.52,0.644,NVDA,0.0553,267.2301,422040,0,1.17
125.73,126.69,126.0,1.0535,IBM,-0.4986,125.27,51487,0,1.75
212.89,213.41,210.21,0.5292,META,-0.0845,209.76,513008,3,-1.19
106.96,108.15,106.1,1.2806,AMZN,3.0344,105.08,588947,7,0.38
165.02,166.45,165.05,0.7882,AAPL,-0.9781,164.5,878307,-3,-1.67
88.43,89.72,89.8,0.6306,AMD,-1.8644,88.055,456946,4,0.47
165.08,166.0,164.8,0.7409,TSLA,1.2823,161.33,892741,-6,1.13
8.14,8.29,7.97,0.2397,CVNA,1.75,7.735,23256,-1,0.14
223.61,226.77,223.75,0.5057,ENPH,-0.5249,219.9,37490,0,1.8
105.41,106.0,105.47,0.5543,GOOGL,0.114,104.79,160609,3,-1.19
92.05,92.38,91.87,0.7484,SONY,0.7332,91.61,2089,0,0.0
5.94,5.99,5.9,0.4494,SOFI,0.3378,5.85,91964,2,0.01
471.99,474.875,475.72,0.6011,NOC,-0.4618,468.84,8044,0,1.43
4.99,5.07,4.94,0.3518,AMC,0.4024,4.91,413189,2,0.48
140.54,141.11,139.74,0.6957,JPM,-0.1917,138.78,82973,0,-3.92
30.3,30.79,30.84,0.5032,INTC,-1.8146,30.225,131284,-2,-1.16
