price,high,low,symbol,relvolume,percentchange,open,watchers,hourchange,sentiment
29.32,29.33,28.63,INTC,0.6633,0.4798,29.075,130891,0,-0.81
101.0,102.4,99.7401,GOOGL,0.707,-1.4249,102.44,159817,0,-4.76
7.37,7.72,7.22,CVNA,0.235,-3.2808,7.57,23387,-7,-0.32
193.495,196.515,190.624,ENPH,0.3801,-1.1924,196.0,37298,-1,-3.4
129.32,129.66,128.8,IBM,0.4651,0.0077,129.18,51344,0,3.35
275.2525,276.13,272.05,MSFT,0.5713,-0.408,275.79,442486,4,-2.62
157.71,158.1277,155.98,AAPL,0.5555,-0.3601,157.97,876656,3,-2.51
128.84,129.3417,127.75,JPM,0.7437,0.2724,128.71,82450,-1,-1.89
200.69,201.03,197.9,META,0.535,-1.0599,200.15,512220,-3,-3.47
94.625,96.93,92.87,AMD,0.907,-2.0547,96.77,456309,2,-1.22
118.01,118.4425,117.38,EA,0.5197,-0.531,118.085,20715,0,-1.01
264.2,265.13,258.5,NVDA,0.6755,-0.4184,264.47,420423,3,-0.39
458.98,461.5,457.59,NOC,0.3387,0.1593,458.31,8016,0,-2.78
189.17,192.35,185.43,TSLA,0.5363,-1.3764,192.0,889585,16,-3.02
97.25,98.44,96.29,AMZN,0.4953,-0.8058,98.11,587260,7,-1.74
85.82,86.6682,85.745,SONY,0.8063,-0.9464,86.11,2081,0,0.0
5.1125,5.5,4.46,AMC,2.4732,12.3626,4.51,412081,107,-0.37
5.585,5.79,5.51,SOFI,0.5751,-3.0382,5.74,91755,0,0.53
