symbol,open,percentchange,high,low,price,relvolume,watchers,hourchange,sentiment
CVNA,7.21,3.2389,7.9,7.02,7.65,0.4207,23300,-3,0.48
AMD,96.66,1.2836,98.75,95.94,97.84,1.4973,455823,2,-0.62
TSLA,184.515,-2.1724,186.21,177.33,180.13,0.6722,888627,-2,0.84
IBM,124.08,-0.8099,124.52,122.93,123.69,2.0994,51324,0,1.4
EA,113.65,-0.1585,114.0,112.98,113.35,0.7406,20734,-1,-25.0
MSFT,278.26,1.1694,283.33,276.3201,279.43,1.7577,441751,3,-1.53
JPM,128.38,-3.7782,128.45,125.46,125.81,2.2173,82039,0,4.47
NOC,449.81,-1.4551,450.16,441.305,443.6,0.8804,7998,0,3.41
META,200.56,-4.5479,201.9,195.4304,195.61,1.116,511617,5,-1.37
SOFI,5.47,0.1835,5.54,5.33,5.46,0.6642,91543,1,5.35
AMZN,99.79,-1.0896,100.65,97.455,98.95,0.8764,586545,-1,2.1
AMC,4.3,-4.7836,4.34,4.1078,4.18,0.6185,411723,0,-0.2
INTC,29.92,-1.226,30.56,29.44,29.81,1.0943,130795,0,-4.36
GOOGL,100.26,1.2959,102.835,100.1,101.62,1.2376,159514,0,0.74
AAPL,156.08,-0.5454,156.74,154.28,155.0,0.9896,875807,3,4.47
SONY,87.25,0.1505,87.47,86.18,86.52,1.0052,2077,0,33.33
NVDA,259.82,0.7204,263.99,256.68,257.25,1.3828,419195,3,2.48
ENPH,200.7,-8.6822,200.7,181.55,183.64,1.684,37123,0,-3.44
