percentchange,open,relvolume,price,high,low,symbol,watchers,hourchange,sentiment
2.2635,445.08,0.6184,454.5,455.73,443.105,NOC,8014,3,-5.0
0.4538,277.24,0.6098,278.92,279.77,275.3,MSFT,442236,2,-3.24
-2.2287,270.31,0.7368,265.85,271.67,263.55,NVDA,420185,7,-2.07
0.5189,205.18,0.6929,205.34,207.574,203.55,META,512054,8,-2.41
-5.0669,202.35,0.7548,194.29,203.55,192.46,ENPH,37272,0,3.35
-1.1081,191.65,0.5581,190.0901,192.36,187.15,TSLA,889276,3,-2.78
0.3586,158.86,0.5904,159.5,159.95,157.85,AAPL,876374,2,-3.33
0.924,123.36,0.4694,124.51,124.95,122.89,IBM,51326,0,-0.54
-1.8606,125.63,1.2473,124.48,125.68,123.1163,JPM,82362,3,-0.98
2.3569,118.08,0.6546,118.775,119.18,117.61,EA,20719,0,16.67
-0.6352,104.99,0.5238,104.9292,105.36,103.84,GOOGL,159715,2,-5.41
-0.9827,98.065,0.6043,97.74,98.16,96.4,AMZN,587038,2,-2.14
-2.6526,99.18,0.8969,97.62,99.52,96.74,AMD,456186,-4,-3.44
-0.9233,88.3,1.1109,87.455,88.3,86.96,SONY,2082,1,0.0
0.5167,29.04,0.87,29.18,29.81,28.93,INTC,130870,0,-3.55
-2.515,8.18,0.2321,8.14,8.47,7.95,CVNA,23423,-1,-1.62
-0.8443,5.675,0.3773,5.7312,5.83,5.645,SOFI,91704,-1,-0.22
0.1119,4.4,0.2345,4.475,4.54,4.38,AMC,411928,4,-0.36
