low,symbol,price,high,open,percentchange,relvolume,watchers,hourchange,sentiment
180.94,TSLA,185.9,186.5,182.955,2.9689,0.6485,891320,7,0.62
91.83,AMD,92.09,93.16,92.79,-0.2599,0.6105,456762,8,2.37
198.52,ENPH,209.69,211.55,200.01,6.9683,0.9909,37416,0,-3.55
5.39,AMC,5.46,5.66,5.48,2.2472,0.5092,413217,0,-3.25
161.44,AAPL,165.56,165.8,161.63,3.4104,0.8567,877738,0,2.73
263.29,NVDA,264.63,268.869,267.34,-0.1208,0.6485,421494,3,-2.16
126.0,IBM,127.9,128.39,128.01,-0.4979,0.8901,51363,-2,6.11
98.73,AMZN,102.4,102.56,98.95,4.6714,0.9312,588374,9,4.91
9.201,CVNA,9.37,9.76,9.27,1.4069,0.3162,23334,0,0.89
283.17,MSFT,289.84,289.9,283.59,2.2399,0.602,443344,6,-0.62
126.83,JPM,128.99,129.04,128.46,0.3813,0.7779,82689,16,-0.48
5.825,SOFI,5.86,5.98,5.91,0.6873,0.5437,91912,-1,1.13
469.67,NOC,474.16,476.065,472.0,0.294,0.3826,8037,0,-8.57
31.65,INTC,32.13,32.4252,31.82,0.3435,0.474,131231,1,3.64
105.9,GOOGL,107.43,107.49,105.84,2.6663,0.5101,160364,0,-0.54
126.58,EA,128.28,128.72,126.58,1.7046,0.4634,20703,0,6.67
215.82,META,220.35,221.15,215.73,2.9673,0.6771,512791,0,2.16
90.0,SONY,90.49,90.83,90.1,1.174,0.7734,2088,0,0.0
