open,price,percentchange,high,symbol,relvolume,low,watchers,hourchange,sentiment
475.72,470.665,-0.7413,474.875,NOC,0.2405,469.59,8044,0,-4.62
285.01,285.95,-0.0559,286.26,MSFT,0.4579,283.0608,443714,-4,0.44
269.52,270.315,-0.2675,271.44,NVDA,0.529,267.2301,422043,-1,1.57
223.75,225.88,0.4849,226.77,ENPH,0.3556,219.9,37483,-2,3.33
210.21,213.2,0.061,213.41,META,0.4347,209.76,512999,-9,-1.34
164.8,165.5998,1.6012,166.0,TSLA,0.6286,161.33,892714,3,-0.69
165.05,165.295,-0.8131,166.45,AAPL,0.6081,164.5,14,-2,-2.48
139.74,140.62,-0.1349,140.755,JPM,0.4799,138.78,82978,1,-4.38
129.05,129.22,0.3261,130.12,EA,0.3024,129.0,20703,0,0.0
126.0,125.86,-0.3957,126.69,IBM,0.8407,125.27,51486,1,-0.13
106.1,107.83,3.8725,108.15,AMZN,1.0135,105.08,588920,9,-0.56
105.47,105.355,0.0617,106.0,GOOGL,0.4095,104.79,160601,1,0.1
91.87,92.295,1.0013,92.38,SONY,0.557,91.61,2089,0,0.0
89.8,88.73,-1.5315,89.72,AMD,0.4916,88.43,456940,0,0.73
30.84,30.315,-1.766,30.79,INTC,0.3358,30.225,131291,0,-1.05
7.97,8.235,2.9375,8.29,CVNA,0.1819,7.735,23260,-10,-2.84
5.9,5.9699,0.8429,5.99,SOFI,0.3369,5.85,91959,-6,-0.52
4.94,4.985,0.3018,5.07,AMC,0.2678,4.91,413185,-5,-0.85
