low,symbol,open,relvolume,high,percentchange,price,watchers,hourchange,sentiment
159.35,AAPL,159.37,0.6109,161.04,1.9791,160.77,876718,11,-0.3
129.18,IBM,130.12,0.4977,130.35,0.2861,129.71,51343,-1,0.76
98.5801,AMZN,98.69,0.6207,100.4218,3.0954,100.25,587352,2,1.22
202.54,META,203.56,0.5083,205.72,2.3271,205.35,512243,1,0.12
100.655,GOOGL,102.28,0.6183,102.43,0.3563,101.39,159836,0,4.31
457.495,NOC,459.38,0.4154,462.58,0.5599,461.57,8021,0,25.0
127.77,JPM,130.1,0.9598,130.22,0.2017,129.14,82460,1,-0.93
5.65,SOFI,5.69,0.7071,5.9199,2.8623,5.75,91762,2,-1.08
265.97,NVDA,268.25,0.7093,270.77,2.1734,269.84,420470,0,-1.37
4.83,AMC,5.14,0.765,5.2084,-2.9126,5.0,412480,-5,-0.59
191.385,ENPH,196.75,0.7832,205.77,5.3896,203.95,37308,1,-0.62
86.74,SONY,86.93,1.1442,88.0,2.3887,87.87,2084,0,0.0
94.87,AMD,96.07,0.8339,96.91,1.618,96.09,456332,0,-0.21
29.789,INTC,29.77,1.6683,31.89,7.6135,31.52,130911,8,7.05
189.44,TSLA,193.13,0.674,195.28,2.479,193.88,889638,9,0.48
7.37,CVNA,7.47,0.2295,7.9,6.9293,7.87,23365,1,-7.63
118.08,EA,118.08,0.4098,119.325,0.9914,119.19,20708,-1,0.0
278.41,MSFT,278.96,0.5914,281.1398,1.9184,280.51,442530,0,-1.71
