price,low,relvolume,open,percentchange,high,symbol,watchers,hourchange,sentiment
455.575,443.105,0.5863,445.08,2.5054,455.73,NOC,8014,3,-5.0
278.92,275.3,0.5902,277.24,0.4538,279.77,MSFT,442236,2,-3.24
266.3949,263.55,0.7097,270.31,-2.0283,271.67,NVDA,420185,7,-2.07
205.72,203.55,0.6734,205.18,0.7049,207.574,META,512054,8,-2.41
194.86,192.46,0.7323,202.35,-4.7884,203.55,ENPH,37272,0,3.35
190.46,187.15,0.5365,191.65,-0.9156,192.36,TSLA,889276,3,-2.78
159.83,157.85,0.5694,158.86,0.5663,159.95,AAPL,876374,2,-3.33
124.9806,123.1163,1.1924,125.63,-1.4659,125.68,JPM,82362,3,-0.98
124.88,122.89,0.443,123.36,1.224,124.95,IBM,51326,0,-0.54
118.95,117.61,0.6328,118.08,2.5078,119.18,EA,20719,0,16.67
105.125,103.84,0.5006,104.99,-0.4498,105.36,GOOGL,159715,2,-5.41
98.0,96.4,0.5822,98.065,-0.7193,98.16,AMZN,587038,2,-2.14
97.93,96.74,0.8607,99.18,-2.3434,99.52,AMD,456186,-4,-3.44
87.56,86.96,1.072,88.3,-0.8044,88.3,SONY,2082,1,0.0
29.21,28.93,0.8354,29.04,0.62,29.81,INTC,130870,0,-3.55
8.215,7.95,0.2261,8.18,-1.6168,8.47,CVNA,23423,-1,-1.62
5.765,5.645,0.3649,5.675,-0.2595,5.83,SOFI,91704,-1,-0.22
4.51,4.38,0.2251,4.4,0.8949,4.54,AMC,411928,4,-0.36
