price,high,relvolume,percentchange,open,symbol,low,watchers,hourchange,sentiment
472.09,474.7299,0.3386,0.8158,467.43,NOC,466.03,8038,0,0.0
284.0291,287.01,0.6456,0.424,284.79,MSFT,281.96,443295,7,-1.17
265.7419,274.63,0.7835,-2.1893,273.7,NVDA,264.4786,421418,3,4.17
214.71,216.84,0.4993,0.4022,214.835,META,212.584,512754,6,-0.58
196.7,201.26,0.3905,-0.0914,199.9,ENPH,195.89,37406,2,2.01
181.1632,191.58,0.8184,-3.0124,190.74,TSLA,180.32,891214,12,0.73
160.2529,162.06,0.5848,-0.3402,161.22,AAPL,159.78,877676,1,1.58
128.675,130.43,0.5766,0.1206,129.18,JPM,128.0603,82618,2,3.1
128.42,130.87,0.4905,-1.5335,130.4,IBM,128.34,51367,0,-1.0
126.34,127.1812,0.3089,0.5251,126.28,EA,125.82,20701,0,-29.17
104.6194,106.75,0.4467,-0.6935,106.58,GOOGL,104.34,160345,1,-0.31
98.195,100.51,0.6965,-1.7264,100.4,AMZN,97.88,588245,2,-2.17
92.55,94.995,0.7637,-1.574,94.97,AMD,91.74,456743,1,5.29
89.5,90.4,0.3904,0.6636,90.0,SONY,89.37,2089,0,0.0
32.1,32.89,0.501,-0.7728,32.77,INTC,31.96,131236,-1,-2.33
9.1892,10.32,0.5472,-5.8484,9.79,CVNA,8.79,23330,-1,7.63
5.85,6.05,0.9022,-2.0101,6.06,SOFI,5.67,91922,2,1.26
5.415,5.74,0.7322,-0.2762,5.62,AMC,5.3715,413221,6,1.07
