symbol,open,relvolume,price,low,percentchange,high,watchers,hourchange,sentiment
AMZN,102.75,0.6103,103.95,102.11,1.5038,104.2,587805,-9,1.69
NVDA,279.66,0.686,274.53,273.08,-1.8309,280.0,420963,5,0.05
GOOGL,104.33,0.5141,104.72,104.04,0.345,105.58,160055,2,3.16
AMC,4.08,2.4701,3.91,3.88,-23.4834,4.45,412856,-4,-4.15
NOC,468.73,0.3915,468.1,465.0,-0.2323,471.94,8035,-1,0.0
EA,121.43,1.0756,125.24,121.23,3.2056,125.47,20708,0,0.0
META,213.39,0.5769,214.72,212.54,0.7744,216.24,512522,3,3.71
CVNA,9.44,0.3434,9.5,8.93,2.2605,9.72,23341,-2,-1.63
TSLA,197.32,0.711,192.58,190.32,-1.1244,198.7446,890514,2,0.31
AMD,97.038,0.6455,95.87,95.21,-0.7146,97.27,456549,2,-2.1
IBM,131.99,0.5043,131.6,130.89,-0.3483,132.1499,51357,0,0.0
SONY,90.78,0.9783,91.01,90.36,-0.3504,91.145,2087,0,0.0
ENPH,202.89,0.4624,202.54,198.65,-0.0296,203.2,37367,0,0.88
SOFI,6.1,0.4678,5.89,5.835,-2.3217,6.095,91865,2,-0.6
INTC,32.85,1.059,33.1,32.85,0.6385,33.84,131191,1,3.11
JPM,130.5,0.702,128.42,127.41,-1.3368,130.59,82528,2,8.1
AAPL,166.595,0.5431,165.63,165.11,-0.325,166.83,877188,9,0.62
MSFT,287.23,0.6652,287.18,285.67,-0.0174,290.4499,442895,0,-0.81
