open,low,relvolume,price,symbol,high,percentchange,watchers,hourchange,sentiment
470.55,468.94,0.2006,470.07,NOC,471.98,-0.8626,8041,-1,8.57
287.0,283.69,0.4185,284.77,MSFT,288.48,-1.7492,443389,4,0.78
265.04,262.2,0.5624,264.89,NVDA,268.83,0.0983,421567,8,-2.51
217.88,217.56,0.4865,219.46,META,222.11,-0.4039,512835,5,-0.36
209.77,204.67,0.5126,205.7,ENPH,214.57,-1.9028,37427,-6,-8.23
183.95,182.01,0.4217,183.82,TSLA,186.28,-1.1189,891401,8,-0.52
164.59,163.83,0.4651,164.345,AAPL,166.32,-0.7339,877843,4,2.46
135.15,134.95,2.5322,138.4,JPM,139.12,7.2951,82931,-4,12.42
127.98,127.45,0.2519,127.6,EA,128.53,-0.5301,20706,1,16.67
128.46,127.31,0.4147,127.5,IBM,129.84,-0.3127,51370,0,1.0
106.89,106.88,0.368,107.9829,GOOGL,108.09,0.5147,160394,1,-1.93
102.07,101.11,0.5153,101.955,AMZN,103.2013,-0.4346,588462,10,1.78
91.82,90.5,0.4486,91.29,AMD,92.97,-0.8687,456769,2,0.31
90.85,90.412,0.4867,90.705,SONY,91.44,0.2376,2088,0,0.0
32.0,31.69,0.2987,31.7645,INTC,32.235,-1.1376,131235,1,-1.89
9.47,8.68,0.2703,9.005,CVNA,9.798,-3.8954,23333,-3,-0.22
5.99,5.77,0.4936,5.825,SOFI,6.03,-0.5973,91914,-1,0.44
5.74,5.21,0.4901,5.2195,AMC,5.75,-4.4048,413226,0,-1.16
