symbol,open,relvolume,low,percentchange,price,high,watchers,hourchange,sentiment
AMZN,102.75,0.6103,102.11,1.5038,103.95,104.2,587808,6,2.07
NVDA,279.66,0.686,273.08,-1.8309,274.53,280.0,420956,5,0.16
GOOGL,104.33,0.5141,104.04,0.345,104.72,105.58,160050,0,3.96
AMC,4.08,2.4701,3.88,-23.4834,3.91,4.45,412848,5,-5.39
NOC,468.73,0.3915,465.0,-0.2323,468.1,471.94,8036,2,0.0
EA,121.43,1.0756,121.23,3.2056,125.24,125.47,20708,1,0.0
META,213.39,0.5769,212.54,0.7744,214.72,216.24,512519,-3,4.64
CVNA,9.44,0.3434,8.93,2.2605,9.5,9.72,23341,-2,-2.4
TSLA,197.32,0.711,190.32,-1.1244,192.58,198.7446,890506,7,0.4
AMD,97.038,0.6455,95.21,-0.7146,95.87,97.27,456545,2,-2.4
IBM,131.99,0.5043,130.89,-0.3483,131.6,132.1499,51358,0,0.0
SONY,90.78,0.9783,90.36,-0.3504,91.01,91.145,2087,0,0.0
ENPH,202.89,0.4624,198.65,-0.0296,202.54,203.2,37367,-1,0.49
SOFI,6.1,0.4678,5.835,-2.3217,5.89,6.095,91861,7,-0.56
INTC,32.85,1.059,32.85,0.6385,33.1,33.84,131187,3,2.73
JPM,130.5,0.702,127.41,-1.3368,128.42,130.59,82526,-2,7.52
AAPL,166.595,0.5431,165.11,-0.325,165.63,166.83,877179,3,1.04
MSFT,287.23,0.6652,285.67,-0.0174,287.18,290.4499,442893,6,-0.71
