relvolume,symbol,high,price,open,percentchange,low,watchers,hourchange,sentiment
0.6091,AAPL,162.36,160.78,162.35,-0.7715,160.51,877578,5,-4.72
0.8239,AMZN,100.99,99.94,100.8,-2.1826,99.01,588161,7,-5.29
0.5013,NOC,476.01,468.05,476.12,-1.7816,467.525,8039,0,5.0
0.4521,EA,126.25,125.67,125.13,0.0398,124.74,20704,0,-1.14
0.6398,JPM,128.935,128.52,128.3,0.4926,127.54,82602,0,0.17
0.9069,AMC,5.63,5.425,5.45,3.5305,5.25,413160,4,4.39
0.7987,CVNA,10.8485,9.76,9.79,4.8335,9.6,23334,2,13.41
0.7591,MSFT,285.87,282.84,285.75,-2.2634,281.64,443222,11,-2.01
0.3554,ENPH,199.04,196.8359,195.9,0.5291,193.14,37408,-2,-0.86
0.4705,INTC,33.11,32.36,32.66,-0.492,32.32,131221,-2,-10.6
0.5067,SONY,89.48,88.93,89.24,0.4745,88.83,2089,0,0.0
0.4743,IBM,131.1,130.395,130.58,-0.4846,130.18,51365,1,0.0
0.583,GOOGL,106.73,105.365,106.55,-1.01,104.68,160315,2,-0.08
0.7947,AMD,96.065,94.05,96.06,-1.4977,92.7,456714,0,3.47
0.662,SOFI,6.02,5.965,5.91,0.9306,5.86,91914,0,2.29
0.5674,NVDA,277.89,271.7,277.235,-1.483,271.26,421358,5,-0.42
0.6665,TSLA,189.19,186.75,186.69,1.214,185.65,891122,8,-0.07
0.4677,META,216.02,213.75,215.48,-0.4657,213.43,512716,1,-2.07
