percentchange,symbol,open,price,low,relvolume,high,watchers,hourchange,sentiment
-0.6,AMC,5.11,4.97,4.865,0.5325,5.16,412470,2,0.5
0.989,AAPL,161.53,162.36,161.271,0.5827,162.47,876778,4,4.74
1.262,MSFT,284.23,284.05,281.5,0.6427,284.46,442607,1,-0.12
1.2126,META,203.38,207.84,202.85,0.6432,208.09,512302,-1,5.99
0.6472,ENPH,209.435,205.27,203.96,0.6629,214.19,37321,0,-2.62
-0.302,JPM,129.95,128.75,127.65,0.7826,130.12,82478,1,1.05
-0.4931,GOOGL,100.91,100.89,99.78,0.6807,101.155,159894,0,2.76
-0.5217,SOFI,5.87,5.72,5.62,0.6344,5.93,91774,3,-1.45
1.8084,INTC,31.85,32.09,31.81,1.4198,32.58,131060,1,3.85
1.7456,AMZN,101.55,102.0,101.01,0.6777,103.04,587433,5,2.57
1.8628,AMD,98.0,97.88,97.25,0.8812,99.53,456364,0,-2.48
-0.1278,NOC,460.46,460.98,458.5,0.3938,462.92,8022,-1,0.0
-0.3778,IBM,130.16,129.22,129.1,0.5487,131.48,51342,-1,6.76
-0.0755,EA,120.0,119.1,118.85,0.5217,120.05,20709,-1,5.56
12.1982,CVNA,8.08,8.83,8.0748,0.5721,9.0,23363,1,-4.27
0.7221,TSLA,195.58,195.28,194.42,0.6092,197.328,889773,9,4.28
1.4787,NVDA,272.29,273.83,271.02,0.6652,274.99,420573,0,1.86
1.6388,SONY,88.7,89.31,88.555,1.4544,89.53,2082,0,0.0
