price,percentchange,open,high,symbol,relvolume,low,watchers,hourchange,sentiment
128.08,0.1642,127.37,128.42,EA,0.4493,127.14,20703,-1,-10.0
270.02,0.9119,265.655,270.06,NVDA,0.5878,264.36,421747,0,-1.18
9.06,1.0033,8.91,9.2192,CVNA,0.273,8.68,23313,1,-1.03
5.2,1.5625,5.24,5.3,AMC,0.3666,5.1301,413211,0,-1.77
89.87,-2.049,90.23,90.69,AMD,0.7217,88.3,456854,2,-2.95
5.96,0.6757,5.89,6.0,SOFI,0.6655,5.81,91926,5,0.09
218.86,-1.1874,219.79,220.979,META,0.4402,217.13,512929,2,0.06
139.83,0.7929,139.95,140.06,JPM,1.0164,137.66,82978,0,0.6
165.23,0.0121,165.09,165.39,AAPL,0.5412,164.03,878021,6,2.85
127.82,-0.2497,128.3,128.72,IBM,0.5124,126.8,51377,0,-5.04
187.04,1.1027,186.32,189.69,TSLA,0.6825,182.7,891685,3,0.25
474.79,0.4698,472.99,477.68,NOC,0.4391,471.38,8041,0,6.35
105.97,-2.6637,104.658,106.155,GOOGL,0.816,104.52,160537,0,-11.87
32.14,0.7839,31.95,32.64,INTC,0.5168,31.77,131274,0,3.84
91.15,0.3192,90.55,91.23,SONY,0.9083,90.35,2088,0,0.0
288.8,0.9296,289.93,291.58,MSFT,0.6118,286.2,443566,3,2.26
224.92,7.6687,215.0,229.23,ENPH,1.7249,214.7801,37479,-2,3.56
102.74,0.2244,103.16,103.73,AMZN,0.5299,101.59,588626,4,0.06
