symbol,low,price,percentchange,open,high,relvolume,watchers,hourchange,sentiment
CVNA,7.735,8.14,1.75,7.97,8.29,0.2397,23256,-1,0.14
ENPH,219.9,223.61,-0.5249,223.75,226.77,0.5057,37490,0,1.8
GOOGL,104.79,105.41,0.114,105.47,106.0,0.5543,160609,3,-1.19
SONY,91.61,92.05,0.7332,91.87,92.38,0.7484,2089,0,0.0
SOFI,5.85,5.94,0.3378,5.9,5.99,0.4494,91964,2,0.01
NOC,468.84,471.99,-0.4618,475.72,474.875,0.6011,8044,0,1.43
AMC,4.91,4.99,0.4024,4.94,5.07,0.3518,413189,2,0.48
JPM,138.78,140.54,-0.1917,139.74,141.11,0.6957,82973,0,-3.92
INTC,30.225,30.3,-1.8146,30.84,30.79,0.5032,131284,-2,-1.16
EA,128.695,129.11,0.2407,129.05,130.12,0.504,20702,0,25.0
MSFT,283.0608,285.76,-0.1223,285.01,286.26,0.5756,443714,-6,-1.79
NVDA,267.2301,271.19,0.0553,269.52,271.83,0.644,422040,0,1.17
IBM,125.27,125.73,-0.4986,126.0,126.69,1.0535,51487,0,1.75
META,209.76,212.89,-0.0845,210.21,213.41,0.5292,513008,3,-1.19
AAPL,164.5,165.02,-0.9781,165.05,166.45,0.7882,878307,-3,-1.67
AMZN,105.08,106.96,3.0344,106.1,108.15,1.2806,588947,7,0.38
AMD,88.055,88.43,-1.8644,89.8,89.72,0.6306,456946,4,0.47
TSLA,161.33,165.08,1.2823,164.8,166.0,0.7409,892741,-6,1.13
