open,low,high,relvolume,percentchange,price,symbol,watchers,hourchange,sentiment
184.515,177.33,186.21,0.6722,-2.2321,180.02,TSLA,888605,-1,2.68
96.66,95.94,98.75,1.4973,1.2008,97.76,AMD,455814,5,2.04
128.38,125.46,128.45,2.2173,-3.7973,125.785,JPM,82027,7,4.98
200.56,195.4304,201.9,1.116,-4.4747,195.76,META,511604,16,-0.47
278.26,276.3201,283.33,1.7577,1.0753,279.17,MSFT,441723,11,1.96
4.3,4.108,4.34,0.6185,-5.1595,4.1635,AMC,411726,-1,0.19
99.79,97.455,100.65,0.8764,-1.1395,98.9,AMZN,586534,3,2.44
5.47,5.33,5.54,0.6642,0.0917,5.455,SOFI,91541,1,5.24
113.65,112.98,114.0,0.7406,-0.1762,113.33,EA,20736,0,0.0
449.81,441.305,451.41,0.8804,-1.4284,443.72,NOC,7996,0,1.11
100.26,100.1,102.835,1.2376,1.236,101.56,GOOGL,159500,1,2.5
29.92,29.44,30.56,1.0943,-1.2591,29.8,INTC,130791,0,-1.62
156.08,154.28,156.74,0.9896,-0.5518,154.99,AAPL,875776,0,6.18
87.25,86.19,87.445,1.0052,0.1505,86.52,SONY,2077,0,33.33
200.7,181.55,200.7,1.684,-8.7171,183.57,ENPH,37086,14,-4.65
259.82,256.68,263.99,1.3828,0.7126,257.23,NVDA,419169,13,4.37
7.21,7.02,7.9,0.4207,2.0243,7.56,CVNA,23307,-2,0.72
124.08,122.935,124.52,2.0994,-0.834,123.66,IBM,51322,-1,6.08
