open,price,high,symbol,relvolume,percentchange,low,watchers,hourchange,sentiment
480.46,478.08,482.74,NOC,0.2487,-0.2899,477.4201,8043,0,7.5
285.99,288.2025,289.05,MSFT,0.3906,-0.0581,284.54,443641,0,4.6
273.61,277.62,278.88,NVDA,0.5345,0.3434,272.32,421921,8,1.56
225.06,224.59,228.49,ENPH,0.406,-1.4394,222.3,37476,-1,-1.38
213.472,216.14,217.33,META,0.3922,-0.8032,212.94,512960,-3,2.17
179.1,182.9,183.2499,TSLA,0.5033,-0.765,177.65,891958,40,-0.65
165.8,167.965,168.16,AAPL,0.5073,0.8981,165.54,878169,19,3.05
141.23,140.9,141.5,JPM,0.4224,-0.3536,140.41,82989,-4,-0.87
128.58,128.73,128.9,EA,0.2662,-0.2402,128.08,20704,1,10.0
126.5,125.855,126.98,IBM,0.5707,-1.5065,125.3,51403,0,0.0
101.58,104.725,105.12,AMZN,0.6839,2.3705,101.39,588728,18,1.49
103.58,104.605,104.98,GOOGL,0.3596,0.1005,103.07,160554,0,-1.32
91.0,90.946,91.12,SONY,0.2897,-0.3986,90.73,2086,0,0.0
88.51,89.94,90.54,AMD,0.4452,0.1782,88.22,456897,4,0.99
31.1,31.24,31.52,INTC,0.2986,-1.8536,31.0828,131283,0,1.78
8.6,8.71,8.77,CVNA,0.239,-1.0227,8.3,23285,-5,-4.31
5.9,6.065,6.085,SOFI,0.3829,1.4214,5.87,91947,25,0.16
4.95,5.105,5.17,AMC,0.2524,1.0891,4.92,413181,-2,-1.84
