relvolume,percentchange,high,low,symbol,open,price,watchers,hourchange,sentiment
0.6395,0.6968,168.16,165.54,AAPL,165.8,167.63,878196,5,6.12
0.4343,-2.1363,31.52,31.0828,INTC,31.1,31.15,131281,0,0.65
0.3154,0.9901,5.17,4.92,AMC,4.95,5.1,413192,6,-1.0
0.6812,0.9542,280.0,272.32,NVDA,273.61,279.31,421921,0,5.2
0.4242,-0.5006,482.74,476.24,NOC,480.46,477.07,8043,0,6.06
0.5543,0.1782,90.54,88.22,AMD,88.51,89.94,456904,-2,0.32
0.8364,1.955,105.12,101.39,AMZN,101.58,104.3,588755,1,2.63
0.4564,-0.3062,104.98,103.07,GOOGL,103.58,104.18,160557,-2,-0.2
0.9493,-1.1426,126.98,125.3,IBM,126.5,126.32,51443,0,-0.22
0.4728,-1.0051,217.33,212.94,META,213.472,215.7,512952,-2,3.2
0.5763,-0.1273,141.5,140.41,JPM,141.23,141.22,82985,-3,0.26
0.3668,-0.6665,128.9,128.075,EA,128.58,128.18,20704,0,10.0
0.6315,-2.0183,183.5,177.65,TSLA,179.1,180.59,892109,18,-2.33
0.4744,0.0277,289.05,284.54,MSFT,285.99,288.45,443653,0,5.73
0.5032,-1.5798,228.49,222.3,ENPH,225.06,224.27,37472,-2,-0.48
0.4953,1.6722,6.1,5.87,SOFI,5.9,6.08,91972,0,1.68
0.2952,-1.9318,8.8426,8.295,CVNA,8.6,8.63,23282,0,-2.51
0.5063,-0.3724,91.12,90.73,SONY,91.0,90.97,2089,0,0.0
