symbol,low,high,open,relvolume,price,percentchange,watchers,hourchange,sentiment
AMZN,102.11,104.2,102.75,0.6103,103.95,1.5038,587808,6,2.07
NVDA,273.08,280.0,279.66,0.686,274.53,-1.8309,420956,5,0.16
GOOGL,104.04,105.58,104.33,0.5141,104.72,0.345,160050,0,3.96
AMC,3.88,4.45,4.08,2.4701,3.91,-23.4834,412848,5,-5.39
NOC,465.0,471.94,468.73,0.3915,468.1,-0.2323,8036,2,0.0
EA,121.23,125.47,121.43,1.0756,125.24,3.2056,20708,1,0.0
META,212.54,216.24,213.39,0.5769,214.72,0.7744,512519,-3,4.64
CVNA,8.93,9.72,9.44,0.3434,9.5,2.2605,23341,-2,-2.4
TSLA,190.32,198.7446,197.32,0.711,192.58,-1.1244,890506,7,0.4
AMD,95.21,97.27,97.038,0.6455,95.87,-0.7146,456545,2,-2.4
IBM,130.89,132.1499,131.99,0.5043,131.6,-0.3483,51358,0,0.0
SONY,90.36,91.145,90.78,0.9783,91.01,-0.3504,2087,0,0.0
ENPH,198.65,203.2,202.89,0.4624,202.54,-0.0296,37367,-1,0.49
SOFI,5.835,6.095,6.1,0.4678,5.89,-2.3217,91861,7,-0.56
INTC,32.85,33.84,32.85,1.059,33.1,0.6385,131187,3,2.73
JPM,127.41,130.59,130.5,0.702,128.42,-1.3368,82526,-2,7.52
AAPL,165.11,166.83,166.595,0.5431,165.63,-0.325,877179,3,1.04
MSFT,285.67,290.4499,287.23,0.6652,287.18,-0.0174,442893,6,-0.71
