price,symbol,high,percentchange,low,open,relvolume,watchers,hourchange,sentiment
473.88,NOC,476.065,0.2348,469.78,472.0,0.3121,8037,-1,-8.57
289.19,MSFT,289.47,2.0107,283.17,283.59,0.5153,443338,-1,-1.85
266.16,NVDA,268.869,0.4567,263.29,267.34,0.5883,421491,5,-3.13
219.78,META,221.15,2.7009,215.82,215.73,0.6159,512791,5,1.88
210.73,ENPH,211.55,7.4989,198.52,200.01,0.8571,37416,-3,-2.01
185.96,TSLA,186.5,3.0021,180.94,182.955,0.6193,891313,6,-0.16
165.4109,AAPL,165.6186,3.3172,161.44,161.63,0.7456,877738,10,1.43
128.585,JPM,128.825,0.0661,126.84,128.46,0.6574,82673,15,-5.33
128.2,IBM,128.39,-0.2645,126.01,128.01,0.7394,51365,-2,5.26
128.135,EA,128.72,1.5896,126.58,126.58,0.3779,20703,0,0.0
107.4002,GOOGL,107.48,2.6378,105.9,105.84,0.4534,160364,4,-0.77
102.24,AMZN,102.56,4.5078,98.73,98.95,0.8452,588365,15,4.23
92.6502,AMD,93.16,0.3468,91.83,92.79,0.562,456754,2,1.81
90.6,SONY,90.83,1.297,90.0,90.1,0.6075,2088,0,0.0
32.245,INTC,32.4252,0.7027,31.65,31.82,0.4058,131230,0,1.39
9.315,CVNA,9.76,0.8117,9.201,9.27,0.291,23334,-2,0.35
5.855,SOFI,5.98,0.6014,5.825,5.91,0.4862,91913,-6,0.89
5.41,AMC,5.66,1.3109,5.39,5.48,0.4762,413217,-1,-3.34
