percentchange,low,price,open,relvolume,symbol,high,watchers,hourchange,sentiment
0.8325,455.23,459.04,459.09,0.2991,NOC,459.96,8013,0,2.78
-1.2778,275.52,276.985,280.5,0.5876,MSFT,281.4589,442425,0,0.4
-0.6684,263.6501,266.0,268.37,0.6143,NVDA,269.94,420365,0,-0.86
-1.199,201.37,203.54,204.81,0.424,META,205.86,512179,-3,-0.27
0.6097,191.61,197.185,199.36,0.5128,ENPH,200.21,37293,0,0.25
1.46,189.94,193.19,194.415,0.5946,TSLA,197.39,889469,1,-0.5
-0.83,157.87,158.92,159.94,0.5206,AAPL,160.77,876589,4,-0.17
3.5797,126.47,129.775,126.47,0.8204,IBM,130.255,51336,1,2.93
3.3304,126.29,129.07,126.79,1.0505,JPM,129.38,82430,1,-3.69
-0.042,118.14,118.98,118.9,0.4317,EA,119.4,20717,-1,0.0
-2.1909,101.9273,103.1299,104.615,0.5617,GOOGL,104.76,159787,3,-0.63
0.2446,97.08,98.37,99.07,0.514,AMZN,99.335,587195,2,-1.0
-0.6636,95.425,97.3,98.02,0.7956,AMD,98.93,456272,1,-1.67
-0.8568,86.33,86.78,87.12,0.8504,SONY,87.38,2080,-1,0.0
0.3917,29.08,29.475,29.37,0.5081,INTC,29.73,130885,-3,0.25
-5.2503,7.57,7.76,8.35,0.2265,CVNA,8.3686,23419,-3,-0.54
1.2038,5.73,5.8091,5.82,0.489,SOFI,5.88,91735,0,0.01
1.1186,4.3,4.52,4.51,0.4288,AMC,4.53,411966,-2,-0.26
