high,price,low,open,symbol,relvolume,percentchange,watchers,hourchange,sentiment
114.28,113.52,113.01,113.01,EA,0.5323,0.15,20731,0,33.33
7.81,7.07,6.87,7.43,CVNA,0.3366,-7.5817,23279,0,-1.75
96.94,96.81,92.9,96.3,AMD,1.5349,-1.0527,455939,0,-0.57
98.48,97.71,95.7,98.41,AMZN,0.7742,-1.2532,586767,-3,0.6
277.48,272.23,269.85,276.98,MSFT,1.2161,-2.5767,441943,0,-0.11
129.46,127.14,126.01,126.99,JPM,1.609,1.0571,82210,0,0.24
4.38,4.27,4.14,4.25,AMC,0.4546,2.1531,411730,0,-0.49
186.44,183.25,176.35,178.08,TSLA,0.6925,1.7321,888860,0,-0.22
452.2,449.26,445.36,445.27,NOC,0.4475,1.2759,8003,0,8.33
101.75,101.22,99.88,100.12,GOOGL,0.7301,-0.3936,159585,0,-0.9
89.16,88.42,87.33,87.52,SONY,1.1668,2.196,2079,0,0.0
196.88,192.51,185.2,189.59,ENPH,1.1646,4.8301,37212,-1,1.63
157.81,157.4,154.15,155.07,AAPL,0.8489,1.5484,876037,2,0.17
29.9,29.16,28.63,29.8,INTC,0.7742,-2.1805,130826,0,-1.34
126.1508,125.94,124.19,124.31,IBM,0.7973,1.8191,51327,0,1.06
260.24,259.0,251.3,256.15,NVDA,0.819,0.6803,419437,3,0.66
199.36,197.81,193.64,198.48,META,0.723,1.1247,511744,0,1.27
5.54,5.22,5.19,5.47,SOFI,0.8466,-4.3956,91592,0,1.15
