high,percentchange,price,open,low,symbol,relvolume,watchers,hourchange,sentiment
5.99,0.3378,5.94,5.9,5.85,SOFI,0.4494,91962,2,0.01
92.38,0.7332,92.05,91.87,91.61,SONY,0.7484,2089,0,0.0
474.875,-0.4618,471.99,475.72,468.84,NOC,0.6011,8044,0,1.43
5.07,0.4024,4.99,4.94,4.91,AMC,0.3518,413187,2,0.21
30.79,-1.8146,30.3,30.84,30.225,INTC,0.5032,131286,0,-1.16
141.11,-0.1917,140.54,139.74,138.78,JPM,0.6957,82973,-1,-3.92
130.12,0.2407,129.11,129.05,128.695,EA,0.504,20702,0,10.0
286.26,-0.1223,285.76,285.01,283.0608,MSFT,0.5756,443720,-1,-1.66
271.83,0.0553,271.19,269.52,267.2301,NVDA,0.644,422040,3,1.39
126.69,-0.4986,125.73,126.0,125.27,IBM,1.0535,51487,0,1.75
213.41,-0.0845,212.89,210.21,209.76,META,0.5292,513005,3,-1.19
166.45,-0.9781,165.02,165.05,164.5,AAPL,0.7882,878310,878298,-1.5
89.72,-1.8644,88.43,89.8,88.055,AMD,0.6306,456942,0,0.91
108.15,3.0344,106.96,106.1,105.08,AMZN,1.2806,588940,4,0.55
166.0,1.2823,165.08,164.8,161.33,TSLA,0.7409,892747,9,1.13
106.0,0.114,105.41,105.47,104.79,GOOGL,0.5543,160606,-1,-0.92
8.29,1.75,8.14,7.97,7.735,CVNA,0.2397,23257,0,-1.24
226.77,-0.5249,223.61,223.75,219.9,ENPH,0.5057,37490,3,1.65
