price,symbol,relvolume,percentchange,high,low,open,watchers,hourchange,sentiment
477.25,NOC,0.4242,-0.463,482.74,476.24,480.46,8043,0,7.5
288.42,MSFT,0.4744,0.0173,289.05,284.54,285.99,443644,3,4.78
279.27,NVDA,0.6812,0.9397,280.0,272.32,273.61,421918,-3,2.29
224.41,ENPH,0.5032,-1.5184,228.49,222.3,225.06,37476,0,-0.26
215.6,META,0.4728,-1.051,217.33,212.94,213.472,512959,-1,2.41
180.49,TSLA,0.6315,-2.0726,183.5,177.65,179.1,891974,16,0.13
167.59,AAPL,0.6395,0.6728,168.16,165.54,165.8,878176,7,3.04
141.22,JPM,0.5763,-0.1273,141.5,140.41,141.23,82989,0,-0.7
128.155,EA,0.3668,-0.6858,128.9,128.075,128.58,20704,0,10.0
126.28,IBM,0.9493,-1.1739,126.98,125.3,126.5,51405,2,1.02
104.295,AMZN,0.8364,1.9501,105.12,101.39,101.58,588736,8,2.54
104.19,GOOGL,0.4564,-0.2967,104.98,103.07,103.58,160556,2,-0.17
90.95,SONY,0.5063,-0.3943,91.12,90.73,91.0,2086,0,0.0
89.94,AMD,0.5543,0.1782,90.54,88.22,88.51,456899,2,1.42
31.16,INTC,0.4343,-2.1049,31.52,31.0828,31.1,131279,-4,-0.62
8.635,CVNA,0.2952,-1.875,8.84,8.3,8.6,23285,0,-4.31
6.075,SOFI,0.4953,1.5886,6.1,5.87,5.9,91947,0,0.91
5.1,AMC,0.3154,0.9901,5.17,4.92,4.95,413183,2,-1.84
