relvolume,symbol,price,high,open,low,percentchange,watchers,hourchange,sentiment
0.3235,NOC,448.567,452.4,450.22,446.65,-0.314,8006,-1,-11.11
0.5803,MSFT,279.29,279.99,273.4,272.63,2.0126,442068,1,2.78
1.0257,NVDA,272.84,274.5,264.25,262.37,4.1414,419733,44,2.62
0.4693,ENPH,208.75,210.77,209.65,204.61,0.5394,37241,1,0.25
0.5049,META,205.08,207.37,202.5,201.84,1.4444,511857,5,2.79
0.5211,TSLA,197.82,200.66,199.3,195.34,0.1215,889085,5,-0.57
0.5056,AAPL,161.04,161.52,159.3,159.118,1.105,876221,5,3.94
0.6739,JPM,129.84,130.655,130.56,128.84,-0.5439,82269,0,1.67
0.2769,IBM,126.31,127.215,127.0,125.84,-0.2054,51324,-1,13.04
0.534,EA,114.5,114.78,114.29,113.83,-0.3828,20726,-1,15.0
0.6558,GOOGL,105.485,106.3,104.27,103.67,0.5385,159654,7,-4.38
0.4294,AMZN,101.22,101.93,100.45,99.35,0.6063,586906,1,1.67
1.2013,AMD,99.898,100.59,95.65,95.645,4.1363,456020,2,-1.46
0.6042,SONY,88.37,88.91,88.91,87.8087,-1.1189,2081,0,0.0
0.3807,INTC,28.8,28.92,28.48,28.31,1.1947,130859,0,-2.8
1.5562,CVNA,8.88,10.25,10.15,8.46,11.9798,23480,10,9.86
1.1239,SOFI,5.765,6.03,5.79,5.66,3.5009,91646,3,3.12
0.6555,AMC,4.57,4.73,4.73,4.47,3.6281,411923,1,4.79
