percentchange,price,low,relvolume,symbol,high,open,watchers,hourchange,sentiment
1.5484,157.4,154.15,0.8489,AAPL,157.81,155.07,876027,1,-0.2
-2.1805,29.16,28.63,0.7742,INTC,29.9,29.8,130824,3,-1.08
1.8191,125.94,124.19,0.7973,IBM,126.1508,124.31,51327,0,1.06
0.6803,259.0,251.3,0.819,NVDA,260.24,256.15,419430,2,0.65
1.1247,197.81,193.64,0.723,META,199.36,198.48,511736,4,1.16
-4.3956,5.22,5.19,0.8466,SOFI,5.54,5.47,91589,1,1.08
0.15,113.52,113.01,0.5323,EA,114.28,113.01,20731,1,33.33
-1.2532,97.71,95.7,0.7742,AMZN,98.48,98.41,586764,7,0.79
-7.5817,7.07,6.87,0.3366,CVNA,7.81,7.43,23279,3,-1.62
-2.5767,272.23,269.85,1.2161,MSFT,277.48,276.98,441941,1,0.02
1.0571,127.14,126.01,1.609,JPM,129.46,126.99,82205,-7,0.76
-1.0527,96.81,92.9,1.5349,AMD,96.94,96.3,455937,0,-0.84
2.1531,4.27,4.14,0.4546,AMC,4.38,4.25,411726,0,-0.43
1.2759,449.26,445.36,0.4475,NOC,452.2,445.27,8003,0,8.33
1.7321,183.25,176.35,0.6925,TSLA,186.44,178.08,888858,2,-0.39
-0.3936,101.22,99.88,0.7301,GOOGL,101.75,100.12,159582,1,-0.64
2.196,88.42,87.33,1.1668,SONY,89.16,87.52,2079,0,0.0
4.8301,192.51,185.2,1.1646,ENPH,196.88,189.59,37209,-3,1.58
