price,percentchange,relvolume,open,low,symbol,high,watchers,hourchange,sentiment
128.42,-1.3368,0.702,130.5,127.41,JPM,130.59,82526,0,6.95
103.95,1.5038,0.6103,102.75,102.11,AMZN,104.2,587798,5,2.42
287.18,-0.0174,0.6652,287.23,285.67,MSFT,290.4499,442887,-1,-0.13
165.63,-0.325,0.5431,166.595,165.11,AAPL,166.83,877176,3,1.97
468.1,-0.2323,0.3915,468.73,465.0,NOC,471.94,8034,0,0.0
274.53,-1.8309,0.686,279.66,273.08,NVDA,280.0,420940,9,0.55
104.72,0.345,0.5141,104.33,104.04,GOOGL,105.58,160046,5,4.0
3.91,-23.4834,2.4701,4.08,3.88,AMC,4.45,412839,8,-5.55
125.24,3.2056,1.0756,121.43,121.23,EA,125.47,20706,0,0.0
9.5,2.2605,0.3434,9.44,8.93,CVNA,9.72,23341,-2,-2.04
214.72,0.7744,0.5769,213.39,212.54,META,216.24,512519,0,4.77
131.6,-0.3483,0.5043,131.99,130.89,IBM,132.1499,51358,0,0.0
192.58,-1.1244,0.711,197.32,190.32,TSLA,198.7446,890499,8,0.43
91.01,-0.3504,0.9783,90.78,90.36,SONY,91.145,2087,0,0.0
95.87,-0.7146,0.6455,97.038,95.21,AMD,97.27,456542,0,-2.3
202.54,-0.0296,0.4624,202.89,198.65,ENPH,203.2,37369,0,0.63
5.89,-2.3217,0.4678,6.1,5.835,SOFI,6.095,91854,0,-0.63
33.1,0.6385,1.059,32.85,32.85,INTC,33.84,131182,0,2.54
