low,price,high,symbol,relvolume,percentchange,open,watchers,hourchange,sentiment
7.02,7.65,7.9,CVNA,0.4207,3.2389,7.21,23300,-3,0.48
95.94,97.84,98.75,AMD,1.4973,1.2836,96.66,455823,2,-0.62
177.33,180.13,186.21,TSLA,0.6722,-2.1724,184.515,888627,-2,0.84
122.93,123.69,124.52,IBM,2.0994,-0.8099,124.08,51324,0,1.4
112.98,113.35,114.0,EA,0.7406,-0.1585,113.65,20734,-1,-25.0
276.3201,279.43,283.33,MSFT,1.7577,1.1694,278.26,441751,3,-1.53
125.46,125.81,128.45,JPM,2.2173,-3.7782,128.38,82039,0,4.47
441.305,443.6,450.16,NOC,0.8804,-1.4551,449.81,7998,0,3.41
195.4304,195.61,201.9,META,1.116,-4.5479,200.56,511617,5,-1.37
5.33,5.46,5.54,SOFI,0.6642,0.1835,5.47,91543,1,5.35
97.455,98.95,100.65,AMZN,0.8764,-1.0896,99.79,586545,-1,2.1
4.1078,4.18,4.34,AMC,0.6185,-4.7836,4.3,411723,0,-0.2
29.44,29.81,30.56,INTC,1.0943,-1.226,29.92,130795,0,-4.36
100.1,101.62,102.835,GOOGL,1.2376,1.2959,100.26,159514,0,0.74
154.28,155.0,156.74,AAPL,0.9896,-0.5454,156.08,875807,3,4.47
86.18,86.52,87.47,SONY,1.0052,0.1505,87.25,2077,0,33.33
256.68,257.25,263.99,NVDA,1.3828,0.7204,259.82,419195,3,2.48
181.55,183.64,200.7,ENPH,1.684,-8.6822,200.7,37123,0,-3.44
