open,high,price,low,percentchange,relvolume,symbol,watchers,hourchange,sentiment
462.98,463.4,460.74,459.45,-0.0521,0.3058,NOC,8026,0,0.0
283.73,288.7904,288.155,283.03,1.4452,0.6159,MSFT,442654,1,2.66
271.4,278.34,276.44,271.05,0.9531,0.7107,NVDA,420627,2,5.8
207.24,211.43,210.96,206.77,1.5012,0.575,META,512341,0,5.44
206.02,212.12,208.21,205.81,1.4323,0.4702,ENPH,37332,-2,-0.32
197.53,207.79,206.3299,197.23,5.6585,0.8765,TSLA,889859,11,8.6
162.44,164.955,164.54,162.13,1.3427,0.5905,AAPL,876831,7,5.26
129.47,131.0983,130.83,129.42,1.2459,0.415,IBM,51346,0,0.0
129.66,130.07,129.89,128.8514,0.8854,0.6125,JPM,82487,-1,-2.57
119.38,120.34,120.06,118.985,0.806,0.5737,EA,20709,0,-7.14
101.3,103.605,103.32,101.05,2.4086,0.5482,GOOGL,159928,0,5.16
102.16,103.29,102.89,101.95,0.8725,0.5428,AMZN,587477,0,2.26
96.34,98.36,97.86,95.27,-0.0204,0.7626,AMD,456390,-6,4.33
89.77,90.92,90.77,89.79,1.6348,1.2606,SONY,2083,0,0.0
31.8,32.8998,32.705,31.74,1.9165,0.8971,INTC,131092,1,-0.19
8.9,9.67,9.49,8.77,7.4745,0.4245,CVNA,23361,3,2.58
5.75,6.17,6.03,5.67,5.4196,0.9792,SOFI,91781,0,0.95
4.91,5.055,4.975,4.87,0.1006,0.4188,AMC,412473,0,-0.08
