relvolume,percentchange,low,open,price,high,symbol,watchers,hourchange,sentiment
0.3159,-0.6938,472.07,478.4,473.76,478.4,NOC,8044,0,13.33
0.4763,-0.7117,285.15,285.25,286.397,289.03,MSFT,443677,1,1.26
0.6131,-1.894,272.7917,276.71,274.02,280.3,NVDA,421989,3,4.92
0.4423,-0.0981,219.31,220.5,224.05,226.26,ENPH,37473,-1,0.5
0.3386,-0.4404,213.07,213.48,214.75,216.75,META,512981,-1,0.61
0.5251,-0.6479,165.91,166.09,166.544,167.87,AAPL,878261,0,3.26
1.0914,-10.2166,161.61,166.165,162.1399,169.55,TSLA,892380,6,-9.97
0.4479,-0.1758,140.17,139.91,140.9717,141.4299,JPM,82976,-3,0.28
0.385,0.3043,128.15,128.28,128.57,129.56,EA,20703,0,0.0
1.4718,0.004,125.84,130.15,126.325,130.98,IBM,51491,1,-1.45
0.4502,0.9887,103.8684,103.91,105.21,106.25,GOOGL,160574,0,-1.58
0.6502,-0.5321,103.38,103.53,103.745,105.24,AMZN,588810,5,0.15
0.5336,0.6596,90.915,90.97,91.57,92.275,SONY,2091,1,0.0
0.5935,0.4225,88.75,88.825,90.32,91.575,AMD,456927,-4,-0.69
0.3901,-0.6902,30.71,30.76,30.935,31.25,INTC,131298,0,0.64
0.2955,-6.6049,7.94,8.3,8.06,8.51,CVNA,23282,-1,0.23
0.392,-2.6316,5.9,5.9,5.92,6.045,SOFI,91960,-1,0.97
0.1959,-2.5471,4.89,5.0,4.9701,5.02,AMC,413182,-6,0.79
