open,symbol,relvolume,percentchange,low,high,price,watchers,hourchange,sentiment
285.99,MSFT,0.4744,0.0277,284.54,289.05,288.45,443657,1,5.45
225.06,ENPH,0.5032,-1.5798,222.3,228.49,224.27,37473,1,-0.57
179.1,TSLA,0.6315,-2.0183,177.65,183.5,180.59,892165,24,-4.74
5.9,SOFI,0.4953,1.6722,5.87,6.1,6.08,91959,0,1.92
31.1,INTC,0.4343,-2.1363,31.0828,31.52,31.15,131285,4,1.89
8.6,CVNA,0.2952,-1.9318,8.3,8.84,8.63,23286,5,-1.5
91.0,SONY,0.5063,-0.3724,90.73,91.12,90.97,2089,0,0.0
4.95,AMC,0.3154,0.9901,4.92,5.17,5.1,413188,0,-0.52
165.8,AAPL,0.6395,0.6968,165.54,168.16,167.63,878196,0,5.73
273.61,NVDA,0.6812,0.9542,272.32,280.0,279.31,421930,5,5.4
480.46,NOC,0.4242,-0.5006,476.24,482.74,477.07,8043,0,3.33
101.58,AMZN,0.8364,1.955,101.39,105.12,104.3,588753,0,2.43
88.51,AMD,0.5543,0.1782,88.22,90.54,89.94,456906,2,0.16
103.58,GOOGL,0.4564,-0.3062,103.07,104.98,104.18,160563,0,0.06
126.5,IBM,0.9493,-1.1426,125.3,126.98,126.32,51454,5,-3.05
213.472,META,0.4728,-1.0051,212.94,217.33,215.7,512956,3,3.52
128.58,EA,0.3668,-0.6665,128.075,128.9,128.18,20704,0,10.0
141.23,JPM,0.5763,-0.1273,140.41,141.5,141.22,82986,0,0.49
