symbol,high,low,open,percentchange,relvolume,price,watchers,hourchange,sentiment
IBM,131.105,130.18,130.58,-0.4655,0.4743,130.42,51365,0,0.0
GOOGL,106.73,104.68,106.55,-1.0241,0.583,105.35,160321,0,-0.74
SONY,89.49,88.83,89.24,0.4519,0.5067,88.91,2089,0,0.0
AMD,96.065,92.7,96.06,-1.5186,0.7947,94.03,456726,5,2.93
INTC,33.11,32.32,32.66,-0.5228,0.4705,32.35,131221,1,-9.96
SOFI,6.02,5.86,5.91,1.0152,0.662,5.97,91914,3,2.79
NVDA,277.89,271.26,277.235,-1.4866,0.5674,271.69,421372,2,0.95
META,216.02,213.43,215.48,-0.4191,0.4677,213.85,512721,0,-3.23
TSLA,189.19,185.65,186.69,1.2357,0.6665,186.79,891135,0,0.29
AAPL,162.36,160.51,162.35,-0.7591,0.6091,160.8,877600,4,-3.84
AMZN,100.99,99.01,100.8,-2.2022,0.8239,99.92,588179,8,-5.58
JPM,128.94,127.54,128.3,0.4926,0.6398,128.52,82602,1,1.62
NOC,476.12,467.525,476.12,-1.7354,0.5013,468.27,8038,0,13.33
EA,126.25,124.74,125.13,0.0478,0.4521,125.68,20704,0,-10.0
CVNA,10.85,9.6,9.79,4.8335,0.7987,9.76,23335,1,12.2
MSFT,285.87,281.64,285.75,-2.2668,0.7591,282.83,443230,2,-1.27
ENPH,199.04,193.14,195.9,0.5516,0.3554,196.88,37408,0,-0.54
AMC,5.63,5.25,5.45,3.626,0.9069,5.43,413162,0,4.62
