percentchange,symbol,price,low,high,relvolume,open,watchers,hourchange,sentiment
-0.6,AMC,4.97,4.865,5.16,0.5325,5.11,412470,2,0.5
0.989,AAPL,162.36,161.271,162.47,0.5827,161.53,876778,4,4.74
1.262,MSFT,284.05,281.5,284.46,0.6427,284.23,442607,1,-0.12
1.2126,META,207.84,202.85,208.09,0.6432,203.38,512302,-1,5.99
0.6472,ENPH,205.27,203.96,214.19,0.6629,209.435,37321,0,-2.62
-0.302,JPM,128.75,127.65,130.12,0.7826,129.95,82478,1,1.05
-0.4931,GOOGL,100.89,99.78,101.155,0.6807,100.91,159894,0,2.76
-0.5217,SOFI,5.72,5.62,5.93,0.6344,5.87,91774,3,-1.45
1.8084,INTC,32.09,31.81,32.58,1.4198,31.85,131060,1,3.85
1.7456,AMZN,102.0,101.01,103.04,0.6777,101.55,587433,5,2.57
1.8628,AMD,97.88,97.25,99.53,0.8812,98.0,456364,0,-2.48
-0.1278,NOC,460.98,458.5,462.92,0.3938,460.46,8022,-1,0.0
-0.3778,IBM,129.22,129.1,131.48,0.5487,130.16,51342,-1,6.76
-0.0755,EA,119.1,118.85,120.05,0.5217,120.0,20709,-1,5.56
12.1982,CVNA,8.83,8.0748,9.0,0.5721,8.08,23363,1,-4.27
0.7221,TSLA,195.28,194.42,197.328,0.6092,195.58,889773,9,4.28
1.4787,NVDA,273.83,271.02,274.99,0.6652,272.29,420573,0,1.86
1.6388,SONY,89.31,88.555,89.53,1.4544,88.7,2082,0,0.0
