percentchange,price,open,relvolume,high,low,symbol,watchers,hourchange,sentiment
1.5038,103.95,102.75,0.6103,104.2,102.11,AMZN,587802,4,2.28
0.345,104.72,104.33,0.5141,105.58,104.04,GOOGL,160050,4,3.96
-1.8309,274.53,279.66,0.686,280.0,273.08,NVDA,420951,11,0.52
-23.4834,3.91,4.08,2.4701,4.45,3.88,AMC,412843,4,-5.39
3.2056,125.24,121.43,1.0756,125.47,121.23,EA,20707,1,0.0
2.2605,9.5,9.44,0.3434,9.72,8.93,CVNA,23343,2,-2.4
0.7744,214.72,213.39,0.5769,216.24,212.54,META,512522,3,4.64
-1.1244,192.58,197.32,0.711,198.7446,190.32,TSLA,890499,0,0.4
-0.0296,202.54,202.89,0.4624,203.2,198.65,ENPH,37368,-1,0.49
-0.3483,131.6,131.99,0.5043,132.1499,130.89,IBM,51358,0,0.0
-0.7146,95.87,97.038,0.6455,97.27,95.21,AMD,456543,1,-2.02
-0.3504,91.01,90.78,0.9783,91.145,90.36,SONY,2087,0,0.0
-2.3217,5.89,6.1,0.4678,6.095,5.835,SOFI,91854,0,-0.56
0.6385,33.1,32.85,1.059,33.84,32.85,INTC,131184,2,2.41
-1.3368,128.42,130.5,0.702,130.59,127.41,JPM,82528,2,7.86
-0.325,165.63,166.595,0.5431,166.83,165.11,AAPL,877176,0,1.42
-0.0174,287.18,287.23,0.6652,290.4499,285.67,MSFT,442887,0,-0.36
-0.2323,468.1,468.73,0.3915,471.94,465.0,NOC,8034,0,0.0
