percentchange,low,price,open,relvolume,symbol,high,watchers,hourchange,sentiment
-0.0453,285.67,287.1,287.23,0.6652,MSFT,290.4499,442890,2,1.1
-0.2153,465.19,468.18,468.73,0.3915,NOC,471.7399,8033,-1,0.0
-1.8273,273.08,274.54,279.66,0.686,NVDA,280.0,420925,4,2.36
0.3641,104.04,104.74,104.33,0.5141,GOOGL,105.58,160040,0,4.12
-23.7769,3.88,3.895,4.08,2.4701,AMC,4.45,412833,5,-4.8
3.2221,121.23,125.26,121.43,1.0756,EA,125.47,20707,0,0.0
2.2605,8.93,9.5,9.44,0.3434,CVNA,9.72,23344,0,-2.29
-1.0987,190.32,192.63,197.32,0.711,TSLA,198.7446,890486,7,1.04
0.7885,212.54,214.75,213.39,0.5769,META,216.24,512513,1,6.34
-0.3635,130.9,131.58,131.99,0.5043,IBM,132.13,51355,0,0.0
-0.0444,198.65,202.51,202.89,0.4624,ENPH,203.2,37367,0,0.56
-0.7042,95.21,95.88,97.038,0.6455,AMD,97.27,456541,7,-1.12
-0.3208,90.36,91.037,90.78,0.9783,SONY,91.145,2087,0,0.0
-2.4046,5.835,5.885,6.1,0.4678,SOFI,6.095,91854,-1,-0.39
0.6233,32.85,33.095,32.85,1.059,INTC,33.84,131182,3,2.71
-1.3519,127.41,128.4004,130.5,0.702,JPM,130.57,82529,1,5.41
1.4842,102.11,103.93,102.75,0.6103,AMZN,104.2,587776,2,1.72
-0.349,165.11,165.59,166.595,0.5431,AAPL,166.83,877181,2,2.67
