low,symbol,relvolume,percentchange,price,open,high,watchers,hourchange,sentiment
455.23,NOC,0.2275,0.648,458.2,459.09,459.96,8013,0,-3.57
275.52,MSFT,0.5062,-1.5258,276.289,280.5,281.4589,442420,4,0.18
263.6501,NVDA,0.5284,-0.885,265.42,268.37,269.94,420363,5,-0.88
201.37,META,0.3641,-1.7766,202.35,204.81,205.86,512176,1,0.08
191.61,ENPH,0.4417,-0.0561,195.88,199.36,200.21,37293,2,-0.49
189.94,TSLA,0.5073,0.7615,191.86,194.415,197.39,889463,3,-0.1
157.87,AAPL,0.4419,-1.2917,158.18,159.94,160.77,876585,11,0.37
126.47,IBM,0.6616,3.5358,129.72,126.47,129.82,51335,0,1.25
126.29,JPM,0.8775,2.9701,128.62,126.79,129.0,82424,6,-3.73
118.14,EA,0.3527,-0.126,118.88,118.9,119.4,20718,0,0.0
101.9273,GOOGL,0.4792,-2.8737,102.41,104.615,104.76,159783,9,-0.14
97.08,AMZN,0.4235,-0.3669,97.77,99.07,99.335,587194,0,-0.79
95.425,AMD,0.6607,-1.2741,96.702,98.02,98.93,456266,3,-1.5
86.33,SONY,0.7769,-1.1139,86.555,87.12,87.38,2081,0,0.0
29.08,INTC,0.4187,0.1362,29.4,29.37,29.73,130888,3,1.2
7.57,CVNA,0.2056,-6.5934,7.65,8.35,8.3686,23426,2,-0.77
5.73,SOFI,0.4123,1.4808,5.825,5.82,5.88,91733,3,-0.15
4.3,AMC,0.3204,-1.566,4.4,4.51,4.5,411970,-6,0.06
