high,low,percentchange,relvolume,symbol,open,price,watchers,hourchange,sentiment
126.27,124.85,0.7266,0.7325,EA,125.24,126.15,20706,0,10.71
103.91,100.7506,-2.7417,0.5813,AMZN,103.91,101.1,587878,0,-0.81
165.05,161.8,-1.129,0.6702,AAPL,164.74,163.76,877264,7,-9.03
94.5,91.36,-3.4526,0.7872,AMD,94.35,92.56,456580,2,-1.32
473.6,467.22,0.6003,0.5536,NOC,467.22,470.91,8036,0,0.0
9.38,8.39,-10.5263,0.3189,CVNA,9.38,8.5,23329,0,-1.79
269.98,263.95,-2.0836,0.9568,NVDA,268.29,268.81,421063,3,-3.49
215.19,209.95,-1.5089,0.5446,META,214.15,211.48,512554,2,-4.18
4.09,3.94,3.5806,0.7224,AMC,4.07,4.05,412899,7,-0.47
287.145,282.95,-0.9889,0.5843,MSFT,285.85,284.34,442952,3,-3.43
128.15,126.46,0.1491,0.609,JPM,126.8,127.61,82526,1,-2.03
190.68,183.76,-3.666,0.7518,TSLA,190.515,185.52,890624,0,-1.53
90.02,89.5312,-1.4943,0.7198,SONY,89.9,89.65,2087,0,0.0
132.61,131.37,0.4103,0.4187,IBM,131.37,132.14,51365,-1,0.0
5.87,5.5801,-2.5467,0.786,SOFI,5.87,5.74,91878,4,0.15
106.1,103.66,-0.2387,0.6109,GOOGL,105.78,104.47,160107,2,-0.01
32.985,32.335,-0.8157,0.7132,INTC,32.795,32.83,131191,2,-1.85
201.62,187.73,-4.3794,0.8384,ENPH,200.0,193.67,37385,4,0.2
