high,price,percentchange,open,symbol,relvolume,low,watchers,hourchange,sentiment
461.5,457.91,-0.0742,458.31,NOC,0.1865,457.91,8016,0,-2.78
276.13,273.01,-1.2193,275.79,MSFT,0.4443,272.05,442486,4,-2.62
265.13,262.05,-1.2288,264.47,NVDA,0.5453,258.5,420423,3,-0.39
200.43,199.222,-1.7837,200.15,META,0.4077,197.9,512220,-3,-3.47
196.515,191.23,-2.349,196.0,ENPH,0.2477,191.05,37298,-1,-3.4
192.35,187.22,-2.393,192.0,TSLA,0.437,185.43,889585,16,-3.02
158.1277,156.505,-1.1214,157.97,AAPL,0.4184,155.98,876656,3,-2.51
129.66,128.94,-0.2861,129.18,IBM,0.3267,128.8,51344,0,3.35
129.3417,128.22,-0.2101,128.71,JPM,0.5496,127.75,82450,-1,-1.89
118.4425,117.7,-0.7923,118.085,EA,0.3532,117.38,20715,0,-1.01
102.4,100.71,-1.708,102.44,GOOGL,0.5751,99.7401,159817,0,-4.76
98.44,96.735,-1.3311,98.11,AMZN,0.3761,96.29,587260,7,-1.74
96.93,93.82,-2.8879,96.77,AMD,0.7304,92.87,456309,2,-1.22
86.6682,85.8468,-0.9155,86.11,SONY,0.546,85.745,2081,0,0.0
29.23,29.045,-0.4626,29.075,INTC,0.4638,28.63,130891,0,-0.81
7.72,7.35,-3.5433,7.57,CVNA,0.174,7.22,23387,-7,-0.32
5.79,5.555,-3.559,5.74,SOFI,0.418,5.51,91755,0,0.53
5.3787,5.26,15.6044,4.51,AMC,1.4634,4.46,412081,107,-0.37
