percentchange,low,high,symbol,price,open,relvolume,watchers,hourchange,sentiment
-0.2497,126.8,128.72,IBM,127.82,128.3,0.5124,51378,0,-4.47
-2.6637,104.52,106.155,GOOGL,105.97,104.658,0.816,160520,6,-12.33
1.1027,182.7,189.69,TSLA,187.04,186.32,0.6825,891654,9,0.22
0.4698,471.38,477.68,NOC,474.79,472.99,0.4391,8041,0,8.33
0.7839,31.77,32.64,INTC,32.14,31.95,0.5168,131269,0,3.6
0.3192,90.35,91.23,SONY,91.15,90.55,0.9083,2088,0,0.0
0.1642,127.14,128.42,EA,128.08,127.37,0.4493,20707,0,-10.0
0.9296,286.2,291.58,MSFT,288.8,289.93,0.6118,443546,7,2.75
7.6687,214.7801,229.23,ENPH,224.92,215.0,1.7249,37473,6,3.43
0.2244,101.59,103.73,AMZN,102.74,103.16,0.5299,588608,5,-0.47
0.9119,264.36,270.06,NVDA,270.02,265.655,0.5878,421731,3,-1.49
0.6757,5.81,6.0,SOFI,5.96,5.89,0.6655,91919,7,0.1
0.7929,137.66,140.06,JPM,139.83,139.95,1.0164,82973,2,0.7
1.0033,8.68,9.2192,CVNA,9.06,8.91,0.273,23310,-4,-1.46
-2.049,88.3,90.69,AMD,89.87,90.23,0.7217,456847,3,-2.66
0.0121,164.03,165.39,AAPL,165.23,165.09,0.5412,878000,-2,2.07
1.5625,5.1301,5.3,AMC,5.2,5.24,0.3666,413206,-2,-1.09
-1.1874,217.13,220.979,META,218.86,219.79,0.4402,512920,20,0.43
