percentchange,price,relvolume,low,high,open,symbol,watchers,hourchange,sentiment
-0.0632,458.71,0.2272,457.495,462.27,459.38,NOC,8021,0,25.0
1.5205,279.415,0.4251,278.41,280.65,278.96,MSFT,442530,0,-1.71
1.7948,268.84,0.5416,265.97,270.6697,268.25,NVDA,420470,0,-1.37
2.2274,205.15,0.3735,202.54,205.28,203.56,META,512243,1,0.12
5.9942,205.12,0.5778,191.385,205.25,196.75,ENPH,37308,1,-0.62
1.4589,191.95,0.5627,189.44,195.28,193.13,TSLA,889638,9,0.48
1.6429,160.24,0.4449,159.35,160.46,159.37,AAPL,876718,11,-0.3
0.1392,129.52,0.322,129.18,130.348,130.12,IBM,51343,-1,0.76
0.0493,128.9435,0.5454,128.72,130.22,130.1,JPM,82460,1,-0.93
0.8219,118.99,0.2448,118.08,119.0,118.08,EA,20708,-1,0.0
0.2623,101.295,0.4596,100.655,102.43,102.28,GOOGL,159836,0,4.31
2.8281,99.99,0.4744,98.5801,100.29,98.69,AMZN,587352,2,1.22
1.423,95.9056,0.6474,94.87,96.91,96.07,AMD,456332,0,-0.21
2.2139,87.72,0.733,86.74,87.72,86.93,SONY,2084,0,0.0
6.9409,31.323,1.1453,29.789,31.46,29.77,INTC,130911,8,7.05
4.7663,7.7108,0.1728,7.37,7.7701,7.47,CVNA,23365,1,-7.63
4.2934,5.83,0.5432,5.65,5.9199,5.69,SOFI,91762,2,-1.08
-3.7864,4.955,0.6747,4.83,5.2084,5.14,AMC,412480,-5,-0.59
