price,low,percentchange,high,relvolume,open,symbol,watchers,hourchange,sentiment
139.83,137.66,0.7929,140.06,1.0164,139.95,JPM,82975,2,0.68
165.23,164.03,0.0121,165.39,0.5412,165.09,AAPL,878010,0,2.35
127.82,126.8,-0.2497,128.72,0.5124,128.3,IBM,51378,0,-5.04
105.97,104.52,-2.6637,106.155,0.816,104.658,GOOGL,160532,8,-12.05
187.04,182.7,1.1027,189.69,0.6825,186.32,TSLA,891666,10,0.17
32.14,31.77,0.7839,32.64,0.5168,31.95,INTC,131274,3,3.25
474.79,471.38,0.4698,477.68,0.4391,472.99,NOC,8041,0,3.57
91.15,90.35,0.3192,91.23,0.9083,90.55,SONY,2088,0,0.0
288.8,286.2,0.9296,291.58,0.6118,289.93,MSFT,443554,0,2.72
102.74,101.59,0.2244,103.73,0.5299,103.16,AMZN,588613,4,-0.44
224.92,214.7801,7.6687,229.23,1.7249,215.0,ENPH,37476,0,3.52
128.08,127.14,0.1642,128.42,0.4493,127.37,EA,20706,0,-10.0
270.02,264.36,0.9119,270.06,0.5878,265.655,NVDA,421737,-1,-1.24
9.06,8.68,1.0033,9.2192,0.273,8.91,CVNA,23311,1,-0.87
5.2,5.1301,1.5625,5.3,0.3666,5.24,AMC,413214,3,-1.29
218.86,217.13,-1.1874,220.979,0.4402,219.79,META,512925,0,0.24
89.87,88.3,-2.049,90.69,0.7217,90.23,AMD,456850,1,-2.83
5.96,5.81,0.6757,6.0,0.6655,5.89,SOFI,91920,1,0.18
