symbol,low,percentchange,high,open,relvolume,price,watchers,hourchange,sentiment
NOC,469.78,0.4618,476.065,472.0,0.2856,474.9532,8038,0,-8.57
MSFT,283.17,1.9224,288.97,283.59,0.4656,288.9399,443339,9,-1.93
NVDA,263.29,0.8643,268.869,267.34,0.5453,267.24,421486,2,-3.55
META,215.82,3.2897,221.05,215.73,0.5547,221.04,512786,7,1.88
ENPH,198.52,7.5346,211.55,200.01,0.8081,210.8,37419,2,-1.26
TSLA,180.94,2.9827,186.5,182.955,0.5923,185.925,891307,8,-0.16
AAPL,161.44,3.252,165.38,161.63,0.6798,165.3065,877728,3,0.22
JPM,126.84,0.0467,128.77,128.46,0.5973,128.56,82658,14,-5.66
EA,126.58,1.6015,128.72,126.58,0.3437,128.15,20703,0,0.0
IBM,126.01,-0.3501,128.28,128.01,0.6733,128.09,51367,3,5.26
GOOGL,105.9,2.5229,107.47,105.84,0.4211,107.28,160360,-1,-0.48
AMZN,98.73,4.3852,102.56,98.95,0.7861,102.12,588350,6,3.23
AMD,91.83,0.2599,93.16,92.79,0.5136,92.57,456752,6,1.85
SONY,90.0,1.5094,90.83,90.1,0.5169,90.79,2088,0,0.0
INTC,31.65,1.0775,32.4252,31.82,0.3674,32.365,131230,0,-0.14
CVNA,9.201,1.8939,9.76,9.27,0.2685,9.415,23336,-3,0.65
SOFI,5.825,1.1168,5.98,5.91,0.4348,5.885,91919,1,0.89
AMC,5.3975,2.0599,5.66,5.48,0.4507,5.45,413218,-3,-2.73
