percentchange,low,relvolume,high,open,price,symbol,watchers,hourchange,sentiment
3.2389,7.02,0.4207,7.9,7.21,7.65,CVNA,23303,-5,0.27
1.2836,95.94,1.4973,98.75,96.66,97.84,AMD,455821,-2,-0.24
-2.1724,177.33,0.6722,186.21,184.515,180.13,TSLA,888629,3,1.1
-0.8099,122.93,2.0994,124.52,124.08,123.69,IBM,51324,0,1.4
-0.1585,112.98,0.7406,114.0,113.65,113.35,EA,20735,0,-25.0
1.1694,276.3201,1.7577,283.33,278.26,279.43,MSFT,441748,4,-1.58
-3.7782,125.46,2.2173,128.45,128.38,125.81,JPM,82039,1,4.66
-1.4551,441.305,0.8804,450.16,449.81,443.6,NOC,7998,0,3.41
-4.5479,195.4304,1.116,201.9,200.56,195.61,META,511612,1,-1.09
0.1835,5.33,0.6642,5.54,5.47,5.46,SOFI,91542,0,5.29
-1.0896,97.455,0.8764,100.65,99.79,98.95,AMZN,586546,-6,2.06
-4.7836,4.1078,0.6185,4.34,4.3,4.18,AMC,411723,1,-0.13
-1.226,29.44,1.0943,30.56,29.92,29.81,INTC,130795,0,-4.25
1.2959,100.1,1.2376,102.835,100.26,101.62,GOOGL,159514,-2,1.05
-0.5454,154.28,0.9896,156.74,156.08,155.0,AAPL,875804,-3,4.59
0.1505,86.18,1.0052,87.47,87.25,86.52,SONY,2077,0,33.33
0.7204,256.68,1.3828,263.99,259.82,257.25,NVDA,419192,3,2.58
-8.6822,181.55,1.684,200.7,200.7,183.64,ENPH,37123,6,-3.29
