relvolume,high,symbol,open,low,price,percentchange,watchers,hourchange,sentiment
0.3069,474.7299,NOC,467.43,466.03,472.87,0.9823,8038,-1,0.0
0.5766,287.01,MSFT,284.79,281.96,284.75,0.6789,443288,5,-1.4
0.7037,274.63,NVDA,273.7,265.17,266.48,-1.9176,421415,3,4.54
0.4554,216.84,META,214.835,212.584,215.07,0.5705,512748,-4,-1.46
0.3473,201.26,ENPH,199.9,196.78,197.755,0.4444,37404,0,1.84
0.7483,191.58,TSLA,190.74,181.1,181.5701,-2.7945,891202,-3,0.82
0.5117,162.06,AAPL,161.22,160.265,160.78,-0.0124,877675,0,1.49
0.5183,130.43,JPM,129.18,128.0603,128.9,0.2957,82616,-5,4.11
0.4148,130.87,IBM,130.4,128.62,128.72,-1.3035,51367,-2,-1.59
0.2689,127.1812,EA,126.28,125.82,126.5,0.6525,20701,-1,-29.17
0.4007,106.75,GOOGL,106.58,104.34,104.725,-0.5933,160344,0,-0.37
0.6252,100.51,AMZN,100.4,98.28,98.49,-1.4311,588243,0,-2.57
0.7048,94.995,AMD,94.97,91.74,92.6,-1.5208,456742,1,5.31
0.317,90.4,SONY,90.0,89.37,89.63,0.8098,2089,0,0.0
0.4257,32.89,INTC,32.77,31.96,32.085,-0.8192,131237,0,-3.12
0.5206,10.32,CVNA,9.79,8.79,9.26,-5.123,23331,0,7.45
0.8337,6.05,SOFI,6.06,5.67,5.8428,-2.1307,91920,2,1.13
0.6173,5.74,AMC,5.62,5.51,5.6101,3.3168,413215,8,1.13
