percentchange,low,open,price,symbol,high,relvolume,watchers,hourchange,sentiment
2.8149,101.05,101.3,103.73,GOOGL,103.89,0.6778,159928,2,3.22
1.2647,101.95,102.16,103.29,AMZN,103.42,0.6381,587485,5,2.35
1.5004,89.75,89.77,90.65,SONY,90.92,1.4706,2084,0,0.0
1.4388,271.05,271.4,277.77,NVDA,278.34,0.7758,420635,5,4.13
1.4471,129.42,129.47,131.09,IBM,131.23,0.5809,51346,0,2.04
2.4407,205.81,206.02,210.28,ENPH,212.12,0.544,37336,2,-1.0
6.1189,5.67,5.75,6.07,SOFI,6.17,1.0566,91783,-1,0.97
0.1605,459.45,462.98,461.72,NOC,463.32,0.4159,8027,1,0.0
0.8048,4.87,4.91,5.01,AMC,5.055,0.4763,412473,-4,0.1
1.9727,206.77,207.24,211.94,META,212.17,0.653,512329,0,3.58
1.8074,31.74,31.8,32.67,INTC,32.8998,1.0575,131094,-2,0.0
0.1328,95.27,96.34,98.01,AMD,98.36,0.8317,456390,0,4.01
10.872,8.77,8.9,9.79,CVNA,9.79,0.475,23373,-3,7.44
6.2372,197.23,197.53,207.46,TSLA,207.79,0.9318,889873,6,7.81
1.5644,162.13,162.44,164.9,AAPL,165.0,0.7363,876843,10,4.88
1.1335,118.985,119.38,120.45,EA,120.53,0.6957,20709,0,-7.14
1.4962,283.03,283.73,288.3,MSFT,288.81,0.7248,442661,4,2.56
1.2117,128.8514,129.66,130.31,JPM,130.34,0.7219,82483,-1,-2.19
